Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
21,100,2,600,0.033487,0.008197,0.038843,0.003169,0.006572,0.005967,0.007017,0.00519,0.007019,0.005123,0.008944,0.00512,0.006906,0.005462,0.006909,0.005705
41,100,2,600,0.040227,0.03033,0.309685,0.014291,0.023632,0.020695,0.023107,0.01978,0.020507,0.019318,0.022564,0.018962,0.023553,0.026343,0.027326,0.024146
61,100,2,600,0.059554,0.074294,0.439404,0.031507,0.056321,0.049793,0.051301,0.04507,0.049593,0.046707,0.042654,0.04153,0.041507,0.04378,0.040855,0.042641
81,100,2,600,0.071577,0.121481,0.711147,0.050084,0.08145,0.093941,0.128265,0.159487,0.112376,0.100058,0.111696,0.10949,0.135772,0.113876,0.107684,0.092645
101,100,2,600,0.099419,0.21729,0.626204,0.078468,0.094234,0.121415,0.101628,0.12298,0.111018,0.117844,0.136615,0.143083,0.125397,0.143678,0.123843,0.149228
1,100,2,600,0.006015,0.000108,0.002629,9.6e-05,0.001783,0.000763,0.001559,0.000376,0.001619,7.6e-05,0.002051,7.5e-05,0.001589,0.000779,0.001599,0.000442
21,100,2,600,0.004567,0.003155,0.04752,0.00419,0.00489,0.005221,0.00606,0.004143,0.00538,0.004014,0.005662,0.003799,0.005369,0.005098,0.00516,0.003929
41,100,2,600,0.004319,0.016263,0.155617,0.014625,0.010897,0.013153,0.011773,0.014892,0.014018,0.014434,0.011777,0.013344,0.015378,0.016112,0.014911,0.013936
61,100,2,600,0.007305,0.02347,0.261883,0.026217,0.021957,0.027553,0.02129,0.027324,0.021809,0.026005,0.022107,0.026655,0.022605,0.029018,0.022254,0.028267
81,100,2,600,0.011417,0.043809,0.46632,0.047554,0.041052,0.056169,0.07856,0.080541,0.079413,0.078699,0.080255,0.075404,0.044964,0.086182,0.066252,0.054282
101,100,2,600,0.021942,0.078985,1.0595,0.075872,0.058321,0.07508,0.062453,0.079252,0.062492,0.076209,0.064665,0.074149,0.065958,0.07287,0.076949,0.095058
1,100,2,600,0.011384,0.000188,0.003698,0.000145,0.003663,0.000333,0.003674,0.000238,0.00286,0.000114,0.003446,0.000118,0.002917,0.000324,0.003173,0.000271
21,100,2,600,0.113048,0.022204,0.028366,0.004357,0.01,0.007747,0.008477,0.007827,0.009193,0.004423,0.010438,0.00431,0.009478,0.007657,0.009694,0.005535
41,100,2,600,0.146439,0.115648,0.096656,0.017981,0.020963,0.016293,0.027529,0.020208,0.016879,0.016397,0.01627,0.014012,0.015025,0.016254,0.01601,0.01594
61,100,2,600,0.128764,0.13228,0.199473,0.034023,0.030897,0.027424,0.027349,0.032988,0.024656,0.030162,0.024745,0.028597,0.022287,0.028528,0.021971,0.027574
81,100,2,600,0.134619,0.192416,0.240026,0.048097,0.044218,0.049926,0.040389,0.051888,0.042282,0.046243,0.041896,0.049519,0.072186,0.067252,0.072893,0.079257
101,100,2,600,0.235576,0.3801,0.536188,0.088416,0.062919,0.084087,0.057041,0.08021,0.059702,0.075987,0.061943,0.075278,0.064343,0.077961,0.059309,0.079068
1,100,2,600,0.008137,0.000136,0.00172,8.5e-05,0.001663,0.00055,0.00166,0.000313,0.001648,7.1e-05,0.001652,7.2e-05,0.001642,0.000581,0.001656,0.000356
21,100,2,600,0.023715,0.007393,0.039954,0.003333,0.007436,0.005644,0.007273,0.005355,0.007189,0.004922,0.008439,0.005085,0.008155,0.005947,0.007107,0.006214
41,100,2,600,0.026446,0.027105,0.152104,0.012488,0.040619,0.040434,0.045126,0.039363,0.037332,0.033712,0.032751,0.027652,0.036974,0.034594,0.041394,0.039088
61,100,2,600,0.02904,0.05273,0.267719,0.029323,0.049384,0.052606,0.050672,0.054304,0.04802,0.04992,0.050117,0.048053,0.043828,0.048981,0.042865,0.046243
81,100,2,600,0.036057,0.086833,0.336824,0.047801,0.066831,0.081014,0.068298,0.080285,0.068823,0.076496,0.076948,0.092564,0.095905,0.131667,0.088684,0.091056
101,100,2,600,0.07043,0.179268,0.840954,0.081145,0.105602,0.129559,0.103824,0.132838,0.099945,0.11716,0.104304,0.117699,0.123443,0.135269,0.118163,0.134362
1,100,2,600,0.009555,0.000141,0.002219,9e-05,0.00182,0.000608,0.003305,0.000361,0.001836,7.4e-05,0.00182,7.3e-05,0.00178,0.000625,0.001772,0.000348
21,100,2,600,0.022663,0.007415,0.036194,0.003624,0.009079,0.00643,0.010172,0.006919,0.008264,0.00658,0.009685,0.005094,0.008558,0.007615,0.009177,0.007434
41,100,2,600,0.032763,0.032652,0.166434,0.014753,0.026217,0.025054,0.028111,0.023507,0.026576,0.026141,0.030022,0.02143,0.027899,0.024292,0.023528,0.022913
61,100,2,600,0.037874,0.0636,0.278203,0.031426,0.037829,0.044263,0.03845,0.0436,0.038038,0.042229,0.039425,0.04203,0.037501,0.049067,0.038875,0.043721
