Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
21,100,0.063693,0.022092,0.044183,0.007622,0.009245,0.008713,0.009214,0.008054,0.00861,0.007557,0.009748,0.007037,0.008688,0.008433,0.008571,0.007922
41,100,0.069668,0.078735,0.174336,0.02687,0.0212,0.028299,0.021468,0.027539,0.020562,0.026893,0.022575,0.026685,0.022049,0.02749,0.020652,0.027404
61,100,0.042062,0.120639,0.25813,0.05928,0.044711,0.061353,0.041985,0.061309,0.042384,0.059867,0.04367,0.05964,0.042737,0.062945,0.043005,0.061419
81,100,0.057225,0.211389,0.597893,0.10728,0.07249,0.111604,0.074906,0.108157,0.071871,0.10613,0.071883,0.105832,0.074643,0.107908,0.073936,0.108454
101,100,0.100416,0.404788,0.702779,0.165928,0.106318,0.171332,0.106445,0.171608,0.105926,0.164039,0.107113,0.163335,0.106667,0.172423,0.106668,0.171461
1,100,0.017311,0.000276,0.006172,0.000274,0.005458,0.001395,0.005388,0.000856,0.005428,0.000242,0.006194,0.000237,0.005438,0.001538,0.005522,0.001
21,100,0.838641,0.066235,0.01711,0.00718,0.009669,0.010007,0.008864,0.008523,0.008999,0.007217,0.009874,0.007212,0.009231,0.009954,0.009153,0.009315
41,100,0.908623,0.237901,0.045382,0.02621,0.021617,0.030601,0.022198,0.02813,0.021919,0.026728,0.022266,0.026489,0.021302,0.030195,0.021735,0.028644
61,100,0.914865,0.545618,0.119761,0.059751,0.044854,0.065845,0.044246,0.063889,0.043986,0.060626,0.044679,0.059475,0.043756,0.064983,0.043632,0.062823
81,100,0.992454,0.953704,0.219162,0.105623,0.073019,0.113979,0.072859,0.111884,0.07235,0.105576,0.073309,0.106005,0.071898,0.114126,0.071893,0.111453
101,100,1.08825,1.45839,0.285349,0.165396,0.106987,0.175133,0.108644,0.170292,0.1095,0.161517,0.107435,0.162713,0.106921,0.17547,0.106908,0.172
1,100,0.015422,0.000258,0.003054,0.000178,0.002976,0.001078,0.002934,0.000655,0.002984,0.000152,0.002981,0.000152,0.002945,0.001138,0.002945,0.000705
21,100,0.042122,0.018054,0.065499,0.007285,0.012756,0.013006,0.013018,0.011743,0.013181,0.011476,0.015433,0.011128,0.013336,0.012657,0.013365,0.01207
41,100,0.046755,0.066166,0.17656,0.026513,0.03289,0.042975,0.032591,0.042052,0.033171,0.040525,0.035055,0.040599,0.033402,0.042161,0.0322,0.041867
61,100,0.039261,0.120033,0.305681,0.059096,0.067609,0.094738,0.071311,0.097207,0.067722,0.095779,0.070043,0.092461,0.068242,0.095009,0.068015,0.099594
81,100,0.077013,0.264739,0.732721,0.105923,0.115547,0.170574,0.116821,0.168897,0.119188,0.159186,0.119727,0.164745,0.116934,0.170053,0.119951,0.167304
101,100,0.099274,0.404449,0.937639,0.164053,0.168157,0.262048,0.177888,0.25941,0.178145,0.253591,0.176777,0.254065,0.172152,0.26306,0.179794,0.256538
1,100,0.033765,0.000351,0.004615,0.000176,0.007501,0.000399,0.007256,0.000335,0.007461,0.000231,0.004545,0.000154,0.004506,0.000301,0.00457,0.000237
21,100,0.041313,0.01869,0.036721,0.007269,0.009675,0.009508,0.009835,0.008283,0.009437,0.00704,0.010054,0.007221,0.009486,0.009314,0.009506,0.0082
41,100,0.047003,0.066494,0.10681,0.026657,0.022543,0.028947,0.021604,0.029947,0.021443,0.02644,0.022061,0.026248,0.020546,0.028136,0.020624,0.02734
61,100,0.058745,0.145657,0.180235,0.059781,0.04471,0.063265,0.044388,0.062346,0.044074,0.059375,0.044716,0.060881,0.043953,0.062804,0.044337,0.061503
81,100,0.078332,0.263684,0.433428,0.105503,0.073086,0.11245,0.073079,0.11023,0.075723,0.103148,0.073791,0.104457,0.073834,0.111016,0.073188,0.110635
101,100,0.098822,0.403081,0.613011,0.165595,0.106545,0.172124,0.108021,0.171827,0.106153,0.163825,0.107805,0.164349,0.10528,0.172418,0.108485,0.171304
1,100,0.014111,0.000252,0.003472,0.000186,0.003384,0.000968,0.003389,0.000584,0.003403,0.000151,0.00338,0.000152,0.003355,0.001097,0.00337,0.000654
21,100,0.073675,0.02162,0.044611,0.007284,0.008544,0.008124,0.008474,0.008184,0.008592,0.007212,0.009472,0.007249,0.008624,0.008223,0.008461,0.007908
41,100,0.075038,0.078833,0.193607,0.027174,0.020807,0.027858,0.020169,0.026947,0.021429,0.026459,0.021713,0.026433,0.020879,0.027655,0.020677,0.027031
61,100,0.08717,0.1791,0.288856,0.060123,0.042293,0.063169,0.042996,0.062431,0.043416,0.058321,0.044182,0.05851,0.041636,0.061599,0.042548,0.061967
