Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUl, time_subproblem_BAUl, time_master_BAUe, time_subproblem_BAUe, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUl, time_subproblem_KCUl, time_master_KCUl, time_subproblem_KCUe, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
41,90,2,600,0.035762,0.028276,0.040728,0.014158,0.033558,0.016399,0.765796,0.085122,0.034897,0.01549,0.951838,0.060274,0.753229,0.06433,0.045999,0.072958,0.039566,0.069722,0.039082,0.024726,0.365275,0.153811,0.047706,0.024301,0.039827,0.064959,0.03946,0.065197
61,90,2,600,0.044224,0.057751,0.126545,0.038012,0.055813,0.030191,0.875623,0.187293,0.041833,0.031195,2.38414,0.146686,2.17891,0.148964,0.059392,0.14292,0.066353,0.142389,0.061513,0.054069,0.403521,0.287894,0.066046,0.051116,0.054506,0.112988,0.053996,0.13081
81,90,2,600,0.033828,0.101217,0.036461,0.050869,0.037941,0.051766,0.061049,0.076921,0.037338,0.051032,3.80302,0.199195,4.05542,0.251884,0.089573,0.224536,0.082949,0.214146,0.075637,0.088443,0.1256,0.138132,0.08156,0.08817,0.07483,0.172174,0.074385,0.200474
101,90,2,600,0.034223,0.153645,0.035753,0.077495,0.033786,0.076973,0.061032,0.115748,0.037321,0.077535,10.9466,0.30085,6.55279,0.319225,0.106271,0.325483,0.103828,0.282461,0.101253,0.135656,0.165553,0.212684,0.112345,0.136177,0.1009,0.293293,0.101981,0.266787
1,90,2,600,0.067905,0.000253,0.069089,0.0002,0.071356,0.000163,0.072157,0.000156,0.074666,0.000157,0.043233,0.002298,0.029974,0.001843,0.03792,0.002421,0.029076,0.001558,0.027464,0.000169,0.029768,0.000185,0.037954,0.000152,0.030637,0.002143,0.029581,0.002219
21,90,2,600,0.067765,0.012988,0.07538,0.007387,0.066212,0.006814,0.330268,0.018625,0.106722,0.007715,0.187644,0.028805,0.168066,0.027391,0.033089,0.019544,0.039999,0.019972,0.03343,0.007974,0.064421,0.011775,0.041407,0.007821,0.03335,0.027648,0.033442,0.027738
41,90,2,600,0.06919,0.04351,0.070207,0.023582,0.069534,0.024016,0.322741,0.054675,0.0898,0.024053,0.697842,0.058602,0.5822,0.063298,0.04236,0.076296,0.043142,0.072641,0.041837,0.024613,0.11838,0.053929,0.051575,0.024791,0.04432,0.07266,0.041922,0.069852
61,90,2,600,0.069932,0.09054,0.071768,0.046561,0.066911,0.046357,0.294353,0.106994,0.086283,0.046043,1.78787,0.129548,1.57676,0.111609,0.059053,0.137892,0.068509,0.128052,0.057274,0.052417,0.132328,0.112024,0.064664,0.051784,0.057132,0.142993,0.058014,0.136415
81,90,2,600,0.100087,0.200216,0.118799,0.103738,0.099532,0.102842,0.230212,0.156907,0.0872,0.077534,2.84508,0.206694,2.75508,0.219726,0.13149,0.333541,0.083988,0.210813,0.118949,0.148638,0.134913,0.139866,0.129952,0.138029,0.117659,0.328591,0.082451,0.220392
101,90,2,600,0.103861,0.309316,0.112819,0.154984,0.099216,0.155872,0.245221,0.232129,0.113842,0.116446,4.31731,0.314465,3.23759,0.353646,0.224969,0.522382,0.164533,0.478863,0.15582,0.21218,0.223845,0.287399,0.168075,0.212906,0.155786,0.480764,0.156111,0.481502
