Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOGL, time_subproblem_KCHOGL
61,100,1500,500,0.047464,0.066267,0.047621,0.059202,0.04634,2.91603
71,100,500,500,0.057473,0.081378,0.058643,0.078954,0.058507,2.93478
71,100,1000,500,0.057671,0.081883,0.059622,0.075915,0.058614,2.93386
71,100,1500,500,0.057242,0.081321,0.05898,0.077423,0.058113,2.9556
81,100,500,500,0.070077,0.103841,0.068161,0.097785,0.067705,2.94998
81,100,1000,500,0.071112,0.106853,0.068713,0.098644,0.070872,2.97621
81,100,1500,500,0.071397,0.103874,0.071998,0.099878,0.067171,2.97305
91,100,500,500,0.083538,0.127887,0.088057,0.12705,0.082026,2.97986
91,100,1000,500,0.088846,0.126546,0.088599,0.121465,0.086367,2.9839
91,100,1500,500,0.085373,0.126791,0.087877,0.122597,0.084553,2.99878
1,100,500,500,0.008086,0.001775,0.004422,0.000217,0.004343,2.09041
1,100,1000,500,0.005271,0.001092,0.005058,0.000272,0.004324,2.09216
1,100,1500,500,0.004816,0.00107,0.005873,0.000341,0.004875,2.0872
11,100,500,500,0.006787,0.003064,0.00472,0.001383,0.005558,1.93717
11,100,1000,500,0.006136,0.003714,0.005474,0.001913,0.005528,1.95287
11,100,1500,500,0.006314,0.003069,0.005651,0.001715,0.00544,1.93464
21,100,500,500,0.008867,0.008179,0.009391,0.005399,0.007556,1.94148
21,100,1000,500,0.008873,0.007197,0.009245,0.006144,0.00736,1.96981
21,100,1500,500,0.009439,0.006293,0.011448,0.006972,0.008049,1.97211
31,100,500,500,0.0156,0.013744,0.009944,0.011647,0.01216,1.94122
31,100,1000,500,0.014991,0.012928,0.010593,0.009531,0.01139,1.97163
31,100,1500,500,0.01389,0.011669,0.010246,0.012756,0.01223,1.93425
41,100,500,500,0.017275,0.022551,0.017311,0.02295,0.018169,1.95932
41,100,1000,500,0.018744,0.022299,0.018063,0.017963,0.017685,1.96166
41,100,1500,500,0.017943,0.022134,0.018564,0.018059,0.017115,1.98466
51,100,500,500,0.025148,0.032777,0.022653,0.02936,0.023075,1.9745
51,100,1000,500,0.024498,0.03595,0.022524,0.031849,0.023098,1.9562
51,100,1500,500,0.024906,0.031907,0.021994,0.029924,0.023324,1.96656
61,100,500,500,0.034106,0.039567,0.029741,0.036873,0.029947,1.99106
61,100,1000,500,0.030726,0.042579,0.028654,0.038275,0.031759,1.96281
61,100,1500,500,0.032731,0.043989,0.030965,0.039276,0.031155,1.97695
71,100,500,500,0.039913,0.055468,0.036736,0.05033,0.038237,1.97649
71,100,1000,500,0.039385,0.057401,0.036574,0.050148,0.040743,2.01061
71,100,1500,500,0.041182,0.055397,0.036227,0.050534,0.039175,1.97721
81,100,500,500,0.046012,0.067181,0.045686,0.059929,0.044234,2.0023
81,100,1000,500,0.046615,0.066842,0.043578,0.061749,0.04349,1.99745
81,100,1500,500,0.04697,0.066915,0.046153,0.064768,0.047939,2.2088
91,100,500,500,0.07858,0.098566,0.056986,0.09988,0.061942,2.09114
91,100,1000,500,0.055458,0.086913,0.051704,0.080846,0.054791,2.02796
91,100,1500,500,0.055768,0.08234,0.051989,0.077802,0.05387,2.01537
1,100,500,500,0.002907,0.000649,0.003407,0.000241,0.002946,1.97546
1,100,1000,500,0.003168,0.000774,0.004019,0.000255,0.003098,1.95501
1,100,1500,500,0.003103,0.000924,0.003492,0.000153,0.003057,1.9397
11,100,500,500,0.007084,0.003917,0.009359,0.002468,0.005219,2.88049
11,100,1000,500,0.00735,0.004632,0.008916,0.002612,0.005282,2.92155
11,100,1500,500,0.006997,0.00335,0.008952,0.002803,0.005603,2.92324
21,100,500,500,0.011936,0.008809,0.014931,0.007554,0.009888,2.90363
21,100,1000,500,0.011733,0.009643,0.01529,0.010027,0.010034,2.9051
21,100,1500,500,0.012767,0.009282,0.013564,0.007795,0.010526,2.90515
31,100,500,500,0.019531,0.018881,0.020182,0.016731,0.017014,2.87743
31,100,1000,500,0.019015,0.019332,0.021205,0.018012,0.017228,2.8852
31,100,1500,500,0.018875,0.018198,0.021507,0.018615,0.01569,2.89928
41,100,500,500,0.025763,0.035931,0.027138,0.030386,0.02493,2.89532
41,100,1000,500,0.026545,0.033802,0.027778,0.03334,0.025908,2.91633
41,100,1500,500,0.027057,0.031112,0.029304,0.035256,0.023605,2.90018
51,100,500,500,0.060291,0.090567,0.03599,0.045297,0.073846,5.19325
51,100,1000,500,0.062964,0.086487,0.036459,0.044513,0.058484,4.82488
51,100,1500,500,0.058579,0.085989,0.034047,0.047236,0.061757,4.84057
61,100,500,500,0.081907,0.108895,0.047809,0.060408,0.080475,4.87495
61,100,1000,500,0.081937,0.107914,0.046339,0.061273,0.078945,4.84582
61,100,1500,500,0.080985,0.112557,0.045555,0.059447,0.081853,4.91773
71,100,500,500,0.103406,0.138979,0.063823,0.079764,0.102269,4.90445
71,100,1000,500,0.102694,0.169918,0.059992,0.078719,0.102811,4.89994
71,100,1500,500,0.105629,0.143484,0.058769,0.077894,0.101765,4.91001
81,100,500,500,0.099264,0.140661,0.071041,0.098669,0.094598,3.95804
81,100,1000,500,0.096568,0.149693,0.073169,0.099843,0.099058,3.96441
81,100,1500,500,0.097149,0.139343,0.07468,0.100645,0.097654,3.96291
91,100,500,500,0.119767,0.177481,0.090232,0.12311,0.128675,4.24128
91,100,1000,500,0.117996,0.166543,0.09406,0.144992,0.124369,4.02059
91,100,1500,500,0.120973,0.168873,0.084705,0.12554,0.119637,3.95274
1,100,500,500,0.005271,0.001046,0.005708,0.000328,0.004588,2.10177
1,100,1000,500,0.0051,0.00097,0.006038,0.000289,0.004646,2.07153
1,100,1500,500,0.005408,0.001097,0.005071,0.000157,0.004474,2.07169
11,100,500,500,0.007192,0.002712,0.006103,0.002028,0.005753,1.93766
11,100,1000,500,0.006992,0.003009,0.005584,0.001731,0.00581,1.95871
11,100,1500,500,0.006666,0.003346,0.005024,0.001512,0.005745,1.93714
21,100,500,500,0.009325,0.006224,0.008429,0.005452,0.008686,1.938
21,100,1000,500,0.00995,0.006703,0.009508,0.005275,0.008398,1.93642
21,100,1500,500,0.009548,0.006896,0.008765,0.005874,0.007717,1.97187
31,100,500,500,0.014172,0.013261,0.012264,0.013124,0.012554,1.95281
31,100,1000,500,0.015024,0.013216,0.011148,0.009815,0.011348,1.95172
31,100,1500,500,0.015534,0.014119,0.011138,0.012111,0.01345,1.95041
41,100,500,500,0.017492,0.022199,0.016603,0.020606,0.016087,1.95495
41,100,1000,500,0.016734,0.022181,0.016905,0.019502,0.020052,1.97248
41,100,1500,500,0.018509,0.0237,0.01907,0.018775,0.017765,1.96595
51,100,500,500,0.024549,0.032716,0.02277,0.029899,0.023609,1.96388
51,100,1000,500,0.023446,0.033935,0.022189,0.029908,0.022475,1.96283
51,100,1500,500,0.022974,0.032153,0.021977,0.028776,0.022932,1.97549
61,100,500,500,0.034224,0.041948,0.029006,0.03891,0.032514,1.96806
61,100,1000,500,0.032998,0.043655,0.031153,0.0389,0.029949,1.97448
61,100,1500,500,0.030927,0.043845,0.029397,0.038218,0.03006,1.96986
71,100,500,500,0.038578,0.054471,0.037815,0.051614,0.037175,1.99726
71,100,1000,500,0.039416,0.055661,0.03631,0.050882,0.037229,1.98919
71,100,1500,500,0.039187,0.054733,0.036548,0.049633,0.037816,1.98149
81,100,500,500,0.047094,0.066799,0.044296,0.063257,0.044705,2.03969
81,100,1000,500,0.045528,0.068236,0.044414,0.06559,0.044458,2.0151
81,100,1500,500,0.047013,0.070658,0.043151,0.063217,0.04618,2.01231
91,100,500,500,0.055279,0.081846,0.052431,0.078243,0.05722,2.00862
91,100,1000,500,0.056858,0.096251,0.052101,0.07819,0.059007,2.02718
91,100,1500,500,0.056867,0.083623,0.051773,0.081835,0.057664,2.01508
1,100,500,500,0.006428,0.001514,0.005968,0.000299,0.005853,3.91539
1,100,1000,500,0.006304,0.00171,0.006206,0.000232,0.005706,3.90647
1,100,1500,500,0.00647,0.001566,0.005335,0.000264,0.005679,3.93428
11,100,500,500,0.005547,0.002537,0.005588,0.001716,0.005202,2.00056
11,100,1000,500,0.005912,0.002417,0.005757,0.001666,0.005137,2.10742
11,100,1500,500,0.006285,0.002978,0.005574,0.002029,0.005533,2.06901
21,100,500,500,0.009261,0.008312,0.010888,0.005099,0.007476,2.01775
21,100,1000,500,0.009424,0.006708,0.009024,0.005964,0.007669,1.97997
21,100,1500,500,0.008656,0.008363,0.008847,0.005074,0.006895,1.97273
31,100,500,500,0.014579,0.014322,0.010988,0.01156,0.012708,1.94664
31,100,1000,500,0.013849,0.012798,0.011577,0.011724,0.012298,1.94107
31,100,1500,500,0.012358,0.01496,0.010931,0.012744,0.011891,1.96049
41,100,500,500,0.020406,0.02266,0.016895,0.018457,0.018023,1.93632
41,100,1000,500,0.019072,0.023615,0.016018,0.01999,0.017253,1.94108
41,100,1500,500,0.01797,0.024416,0.018112,0.018077,0.016094,1.94607
51,100,500,500,0.027872,0.033907,0.021668,0.029862,0.024654,1.97561
51,100,1000,500,0.024871,0.035528,0.022264,0.029012,0.024399,1.97591
51,100,1500,500,0.024985,0.033023,0.021963,0.029674,0.02328,1.97497
61,100,500,500,0.035287,0.042879,0.029059,0.042531,0.031751,1.99621
61,100,1000,500,0.033765,0.045581,0.029126,0.038229,0.031338,2.00329
61,100,1500,500,0.034052,0.040482,0.030574,0.041629,0.03149,1.99323
71,100,500,500,0.038387,0.0547,0.038116,0.050582,0.037571,1.99022
71,100,1000,500,0.038702,0.05595,0.038421,0.05061,0.036921,1.99248
71,100,1500,500,0.04148,0.05215,0.037009,0.05169,0.040648,1.99635
81,100,500,500,0.049001,0.067069,0.044382,0.06285,0.044022,1.99613
81,100,1000,500,0.047963,0.068157,0.042573,0.06467,0.044494,1.99902
81,100,1500,500,0.047603,0.067302,0.04324,0.063328,0.044802,2.02137
91,100,500,500,0.055701,0.083245,0.05279,0.077791,0.053703,2.00827
91,100,1000,500,0.056707,0.08617,0.055567,0.073685,0.053355,2.01347
91,100,1500,500,0.055341,0.082161,0.051157,0.076687,0.051979,1.99451
1,100,500,500,0.005545,0.00113,0.004913,0.000287,0.004524,2.10198
1,100,1000,500,0.005699,0.001072,0.004823,0.000267,0.004586,2.08144
