Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,90,2,600,0.023175,0.000267,0.003714,0.000141,0.003698,0.000141,0.00682,0.000441,0.005823,0.000287,0.00747,0.000246,0.005934,0.000184,0.005726,0.000419,0.005704,0.00032
21,90,2,600,0.100174,0.022351,0.085016,0.005357,0.039592,0.005725,0.008357,0.00721,0.00826,0.006168,0.007494,0.005311,0.008492,0.005485,0.007806,0.007468,0.007858,0.006328
41,90,2,600,0.140458,0.093276,0.291691,0.022313,0.262292,0.022565,0.021858,0.024801,0.021558,0.023833,0.021103,0.021895,0.021556,0.021933,0.021367,0.025237,0.021274,0.024074
61,90,2,600,0.205333,0.235253,0.437548,0.055349,0.387909,0.047469,0.0413,0.059388,0.043822,0.050474,0.040312,0.049403,0.041881,0.049362,0.042369,0.050585,0.040268,0.051624
81,90,2,600,0.199727,0.360718,1.20786,0.084463,0.737274,0.083426,0.063731,0.08829,0.064265,0.090107,0.063185,0.084016,0.064205,0.084293,0.0626,0.088097,0.062976,0.0873
101,90,2,600,0.195591,0.484948,3.27679,0.139826,1.23525,0.131105,0.098816,0.137352,0.095302,0.134611,0.092901,0.126606,0.094143,0.126492,0.099548,0.127225,0.093225,0.133183
1,90,2,600,0.005954,0.000142,0.003882,0.000149,0.003887,0.00014,0.002681,0.000703,0.002729,0.000502,0.002638,0.000124,0.003377,0.000121,0.002717,0.000908,0.002676,0.000557
21,90,2,600,0.02274,0.010797,0.119211,0.00575,0.070806,0.005545,0.007346,0.007004,0.007138,0.006283,0.007144,0.005576,0.007888,0.005376,0.007248,0.00613,0.007525,0.00593
41,90,2,600,0.017296,0.030537,0.366809,0.021031,0.303543,0.022352,0.020006,0.023229,0.020265,0.022821,0.019965,0.023703,0.020934,0.021566,0.020198,0.026923,0.02063,0.023593
61,90,2,600,0.062407,0.118693,0.932571,0.051009,0.464708,0.049523,0.040785,0.052687,0.040356,0.052519,0.041007,0.049032,0.043839,0.046636,0.040902,0.052748,0.040425,0.051794
81,90,2,600,0.102978,0.246157,0.974801,0.08647,0.903649,0.085527,0.063246,0.088958,0.064133,0.088506,0.064951,0.090205,0.063559,0.083225,0.063062,0.088876,0.063272,0.087755
101,90,2,600,0.042955,0.181357,3.402,0.136506,2.1726,0.13527,0.094581,0.131822,0.094387,0.131387,0.091993,0.127269,0.093902,0.129189,0.093655,0.136596,0.093632,0.134727
1,90,2,600,0.024594,0.000317,0.004045,0.000149,0.003935,0.000154,0.005818,0.000335,0.006073,0.000264,0.007977,0.000263,0.00628,0.000197,0.006053,0.000317,0.006047,0.000265
21,90,2,600,0.079346,0.019833,0.065898,0.005875,0.04715,0.005599,0.008561,0.007989,0.008397,0.006649,0.008079,0.005634,0.008992,0.005542,0.007938,0.007789,0.008249,0.006452
41,90,2,600,0.113118,0.084893,0.179694,0.024397,0.119456,0.02213,0.021161,0.024689,0.020363,0.023115,0.02017,0.021467,0.021291,0.021551,0.020434,0.024488,0.020555,0.02315
61,90,2,600,0.110763,0.163967,0.249644,0.048971,0.17436,0.048316,0.043205,0.050532,0.040793,0.052031,0.040605,0.049988,0.041783,0.049446,0.04077,0.053254,0.040338,0.051917
81,90,2,600,0.127113,0.283935,0.87306,0.084916,0.846415,0.08363,0.064176,0.089484,0.063746,0.087815,0.063281,0.083516,0.067258,0.08013,0.064314,0.089716,0.064876,0.090837
101,90,2,600,0.207491,0.499961,1.61963,0.140004,1.85002,0.129593,0.101641,0.131691,0.097294,0.134371,0.096932,0.127622,0.097997,0.133674,0.095934,0.134071,0.09578,0.132987
1,90,2,600,0.01512,0.000235,0.003049,0.000144,0.002859,0.00014,0.00285,0.00055,0.002914,0.000326,0.005368,0.000121,0.002873,0.000118,0.002835,0.000775,0.002821,0.000346
21,90,2,600,0.013625,0.008105,0.123256,0.005764,0.083878,0.006354,0.007833,0.007376,0.007484,0.006251,0.007939,0.005543,0.008462,0.005419,0.007952,0.006624,0.007778,0.006625
41,90,2,600,0.018907,0.031598,0.346946,0.022239,0.311196,0.022233,0.020163,0.023853,0.020849,0.022953,0.019882,0.021346,0.020945,0.021464,0.020293,0.023034,0.020151,0.022552
61,90,2,600,0.023957,0.068721,0.714202,0.049454,0.449257,0.052125,0.041494,0.051499,0.040388,0.051325,0.039679,0.048574,0.041371,0.048015,0.039389,0.051585,0.039546,0.050517
81,90,2,600,0.032342,0.118447,2.62658,0.088738,0.862524,0.083793,0.06599,0.083725,0.062089,0.086887,0.062929,0.081774,0.064489,0.083525,0.063276,0.089974,0.063508,0.088333
101,90,2,600,0.042908,0.186628,1.5484,0.130068,2.14066,0.136024,0.098565,0.1319,0.096466,0.133307,0.100074,0.122406,0.096552,0.12692,0.095455,0.133075,0.100455,0.127647
1,90,2,600,0.025063,0.000345,0.00403,0.000155,0.003904,0.000152,0.005565,0.001223,0.005991,0.000618,0.007395,0.00026,0.006061,0.000189,0.005821,0.001134,0.005754,0.000718
21,90,2,600,0.216237,0.031631,0.034377,0.00585,0.029384,0.005821,0.008326,0.007205,0.008105,0.006415,0.007791,0.005575,0.008947,0.005784,0.008045,0.007427,0.00804,0.006479
41,90,2,600,0.232504,0.114991,0.174018,0.02224,0.113878,0.022008,0.021383,0.024308,0.021391,0.022118,0.021257,0.021571,0.021711,0.021695,0.020475,0.024,0.020667,0.023686
61,90,2,600,0.282664,0.25298,0.317053,0.04891,0.343726,0.048909,0.041612,0.053307,0.041845,0.05351,0.041187,0.05005,0.041983,0.049877,0.040967,0.053802,0.040934,0.052291
81,90,2,600,0.287687,0.446876,1.27648,0.08562,0.959722,0.084006,0.06783,0.08506,0.065435,0.087194,0.063257,0.083286,0.064653,0.087811,0.064069,0.091603,0.064783,0.091368
101,90,2,600,0.36089,0.680957,1.01943,0.128972,2.13323,0.136916,0.096639,0.135601,0.096901,0.134578,0.098068,0.127942,0.097194,0.126944,0.09697,0.135251,0.098796,0.147506
1,90,2,600,0.012252,0.000234,0.002589,0.000141,0.002471,0.00014,0.002556,0.000389,0.002459,0.000274,0.002481,0.000118,0.002504,0.000119,0.002422,0.000402,0.00244,0.000296
21,90,2,600,0.012623,0.008132,0.077433,0.005909,0.070473,0.005836,0.007762,0.006868,0.007399,0.006255,0.007928,0.005579,0.007863,0.0054,0.007282,0.007131,0.007478,0.00619
41,90,2,600,0.016419,0.031044,0.288032,0.022675,0.26824,0.022926,0.021614,0.024911,0.021093,0.022757,0.020469,0.021521,0.020801,0.021694,0.019803,0.026807,0.020257,0.023247
61,90,2,600,0.023755,0.06926,1.06837,0.050341,0.470873,0.050442,0.04069,0.053614,0.040726,0.051768,0.042125,0.047377,0.040722,0.048886,0.04076,0.053054,0.040777,0.058535
81,90,2,600,0.030654,0.121103,1.16994,0.092368,0.733152,0.087176,0.0652,0.090759,0.06494,0.089146,0.065342,0.086305,0.065967,0.086561,0.065844,0.092137,0.067571,0.086518
101,90,2,600,0.042071,0.183837,3.07219,0.130917,2.92026,0.141092,0.097242,0.137042,0.097973,0.147375,0.093139,0.127989,0.10214,0.121505,0.095841,0.133994,0.095806,0.1478
1,90,2,600,0.012811,0.000211,0.002959,0.000149,0.002822,0.00014,0.002876,0.000869,0.002903,0.000532,0.002869,0.00012,0.002782,0.000119,0.00289,0.001057,0.002773,0.000509
21,90,2,600,0.022933,0.010758,0.101114,0.00569,0.069281,0.00555,0.012526,0.01006,0.011853,0.009434,0.011938,0.008313,0.014457,0.008272,0.011948,0.009953,0.012,0.008908
41,90,2,600,0.029889,0.04112,0.410113,0.021773,0.374263,0.02228,0.032787,0.03832,0.033051,0.034109,0.032931,0.034837,0.035426,0.032717,0.031968,0.037474,0.032237,0.036595
61,90,2,600,0.04216,0.090999,0.810031,0.048319,0.474545,0.048125,0.063746,0.079302,0.066823,0.07452,0.06518,0.07302,0.067195,0.073133,0.069488,0.073258,0.065427,0.081931
81,90,2,600,0.048985,0.160209,1.71675,0.094051,0.839356,0.08373,0.100069,0.134582,0.10581,0.129913,0.099492,0.130824,0.103637,0.12729,0.103677,0.129757,0.103701,0.12937
101,90,2,600,0.089531,0.299492,3.21536,0.12693,2.3417,0.135064,0.206334,0.288722,0.206137,0.27131,0.206847,0.274766,0.152684,0.193743,0.207563,0.274043,0.210912,0.274665
1,90,2,600,0.009201,0.000142,0.003984,0.000151,0.003974,0.000142,0.002824,0.000893,0.002789,0.000502,0.002719,0.000123,0.003496,0.000121,0.002818,0.000947,0.002741,0.000477
21,90,2,600,0.006148,0.005382,0.116169,0.005739,0.076642,0.006283,0.007226,0.006806,0.007167,0.00591,0.007366,0.005351,0.008525,0.005355,0.007219,0.006502,0.007147,0.005904
41,90,2,600,0.008284,0.020249,0.296357,0.02179,0.367637,0.021232,0.019957,0.023028,0.019741,0.02288,0.019421,0.02093,0.020573,0.021038,0.019821,0.022645,0.019422,0.022367
61,90,2,600,0.012432,0.045677,0.889462,0.048847,0.489169,0.048624,0.040228,0.051599,0.040758,0.051588,0.039913,0.048701,0.042517,0.047008,0.039907,0.051188,0.040061,0.050701
81,90,2,600,0.015598,0.079597,2.39449,0.085966,0.906595,0.08745,0.064442,0.089534,0.06369,0.089839,0.063555,0.083877,0.065061,0.083638,0.064706,0.089602,0.063885,0.090029
101,90,2,600,0.021642,0.124908,2.1731,0.132153,2.12521,0.139853,0.098625,0.135491,0.100296,0.13339,0.096883,0.12846,0.099007,0.12931,0.097846,0.136541,0.100981,0.13124
1,90,2,600,0.008116,0.000137,0.004054,0.000145,0.003938,0.000143,0.002599,0.001115,0.002556,0.000486,0.002542,0.000121,0.003221,0.000121,0.002573,0.001011,0.002557,0.000549
21,90,2,600,0.007428,0.00547,0.094707,0.006178,0.094084,0.005787,0.007513,0.006431,0.007604,0.006136,0.006968,0.0054,0.007635,0.005373,0.007246,0.006521,0.006929,0.006673
41,90,2,600,0.008561,0.020895,0.406892,0.022933,0.359356,0.022623,0.021195,0.026748,0.02145,0.02302,0.021087,0.02259,0.021457,0.022507,0.021042,0.02461,0.021454,0.024234
