Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,0,0.004534,8.2e-05,0.003046,0.000106,0.00218,8e-05,0.002188,0.000702,0.002308,0.008244
1,0,0.003794,8e-05,0.003115,9.7e-05,0.002214,8.7e-05,0.002216,0.000818,0.002371,0.00842
1,0,0.009173,0.000125,0.002205,9.8e-05,0.002227,8.1e-05,0.002186,0.000645,0.002168,0.007895
1,0,0.009867,0.000126,0.004105,0.00015,0.003408,0.000127,0.00338,0.001146,0.003352,0.012881
1,0,0.008732,0.000122,0.003827,0.000149,0.003697,0.000125,0.003679,0.000638,0.003856,0.004466
1,0,0.009668,0.000124,0.004015,0.00015,0.003898,0.000127,0.00392,0.00064,0.004014,0.00447
1,0,0.004434,8.3e-05,0.003253,9.7e-05,0.002199,8.1e-05,0.002211,0.000571,0.002196,0.007969
1,0,0.009039,0.000122,0.003884,0.000148,0.00391,0.000125,0.003889,0.000182,0.003862,0.000321
1,0,0.016896,0.000168,0.003068,9.9e-05,0.005809,0.000172,0.005793,0.001268,0.005791,0.016186
1,0,0.004195,8.2e-05,0.003024,9.7e-05,0.002138,8.1e-05,0.002142,0.000621,0.002271,0.008
1,0,0.016938,0.000167,0.004223,0.000157,0.004769,0.000171,0.004774,0.001283,0.004773,0.016139
1,0,0.016098,0.000166,0.004204,0.000158,0.004861,0.000173,0.004887,0.001049,0.004202,0.004709
1,0,0.009033,0.000124,0.002188,9.6e-05,0.0022,8.3e-05,0.002152,0.000562,0.002183,0.007949
1,0,0.017487,0.000166,0.004023,0.000148,0.005504,0.000173,0.005481,0.000822,0.004012,0.004491
1,0,0.00918,0.000124,0.002207,9.6e-05,0.002243,8.1e-05,0.002229,0.000684,0.002199,0.008081
1,0,0.017036,0.000176,0.004006,0.00015,0.0052,0.000169,0.005211,0.000576,0.004058,0.002222
1,0,0.004436,9.1e-05,0.003045,9.7e-05,0.002037,8e-05,0.002059,0.000839,0.002222,0.004627
1,0,0.016594,0.000165,0.003004,0.0001,0.006193,0.00017,0.006202,0.000263,0.003013,0.000347
1,0,0.004063,8.1e-05,0.003147,9.8e-05,0.002012,8.1e-05,0.002014,0.000603,0.001976,0.008039
1,0,0.016509,0.000164,0.004183,0.000155,0.004939,0.000171,0.004917,0.000671,0.004156,0.002324
1,0,0.016468,0.000165,0.002744,9.9e-05,0.005485,0.000171,0.005476,0.000741,0.002762,0.003141
1,20,0.008881,0.000125,0.002159,9.6e-05,0.00216,8.1e-05,0.002161,0.000579,0.002144,0.007891
1,20,0.016408,0.000165,0.002764,0.0001,0.005483,0.000171,0.005505,0.000361,0.002778,0.000724
1,20,0.01604,0.000164,0.002902,0.00011,0.005705,0.00018,0.005727,0.000802,0.002897,0.003177
1,20,0.015953,0.000168,0.00283,9.7e-05,0.005207,0.000171,0.005204,0.001409,0.003988,0.0123
1,20,0.008567,0.000123,0.001922,9.6e-05,0.001941,8.3e-05,0.0019,0.000685,0.001924,0.008143
1,20,0.016115,0.000165,0.00296,9.9e-05,0.006088,0.000172,0.00607,0.000702,0.002962,0.003134
1,20,0.008658,0.000126,0.00392,0.000148,0.003246,0.000133,0.003261,0.000857,0.003256,0.011912
