Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,3,200,0.007055,0.000611,0.0098,0.00068
1,100,3,300,0.010765,0.001744,0.009473,0.001304
1,100,3,400,0.007202,0.001145,0.010818,0.002094
1,100,3,500,0.010461,0.001964,0.009672,0.001633
1,100,3,600,0.007699,0.0012,0.014536,0.001492
1,100,3,700,0.009153,0.002088,0.007609,0.002876
1,100,3,800,0.009339,0.001146,0.009619,0.001516
1,100,3,900,0.007137,0.001233,0.005885,0.001637
1,100,3,1000,0.010922,0.002795,0.00842,0.003213
1,100,3,1100,0.005599,0.001316,0.008833,0.001905
1,100,3,1200,0.00588,0.001399,0.005607,0.002138
1,100,3,1300,0.008353,0.003501,0.007239,0.005123
1,100,3,1400,0.010357,0.009307,0.021308,0.008482
1,100,5,100,0.016686,0.000429,0.023546,0.000868
1,100,5,200,0.036053,0.002967,0.044253,0.001417
1,100,5,300,0.027244,0.000809,0.029496,0.003601
1,100,5,400,0.025288,0.002255,0.0228,0.002955
1,100,5,500,0.023874,0.002019,0.012319,0.003079
1,100,5,600,0.018473,0.006237,0.014079,0.002254
1,100,5,700,0.010198,0.002987,0.022486,0.008409
1,100,5,800,0.030795,0.001291,0.036724,0.007438
1,100,5,900,0.018504,0.001285,0.009774,0.005935
1,100,5,1000,0.014112,0.002869,0.012444,0.003392
1,100,5,1100,0.009741,0.0016,0.006051,0.003334
1,100,5,1200,0.011371,0.001582,0.013683,0.011261
1,100,5,1300,0.020021,0.001601,0.022858,0.01605
1,100,5,1400,0.017354,0.002183,0.015066,0.012769
1,100,7,100,0.016875,0.002204,0.014681,0.000917
1,100,7,200,0.02257,0.000635,0.025575,0.003346
1,100,7,300,0.023823,0.000759,0.011739,0.007293
1,100,7,400,0.011985,0.00363,0.013397,0.004395
1,100,7,500,0.012628,0.00512,0.015708,0.015472
1,100,7,600,0.02847,0.001332,0.008711,0.00379
1,100,7,700,0.007211,0.001246,0.006184,0.003779
1,100,7,800,0.005718,0.00116,0.005754,0.004024
1,100,7,900,0.006376,0.001352,0.005602,0.004512
1,100,7,1000,0.005701,0.001506,0.005671,0.004815
1,100,7,1100,0.005908,0.001558,0.005851,0.010094
1,100,7,1200,0.013094,0.001474,0.02528,0.010843
1,100,7,1300,0.015337,0.001585,0.017651,0.009472
1,100,7,1400,0.00603,0.003076,0.015661,0.016667
1,100,9,100,0.007112,0.000414,0.005894,0.001096
1,100,9,200,0.011885,0.000556,0.016369,0.002067
1,100,9,300,0.005724,0.000734,0.009688,0.004446
1,100,9,400,0.009184,0.00081,0.01577,0.005219
1,100,9,500,0.011479,0.00096,0.018657,0.010961
1,100,9,600,0.005765,0.00108,0.01408,0.008461
1,100,9,700,0.016035,0.001288,0.009034,0.030459
1,100,9,800,0.009542,0.001545,0.007015,0.006083
1,100,9,900,0.006753,0.001243,0.006094,0.022841
1,100,9,1000,0.019729,0.001332,0.014355,0.015199
1,100,9,1100,0.011911,0.001491,0.059164,0.01948
1,100,9,1200,0.026454,0.003905,0.026451,0.037554
1,100,9,1300,0.028897,0.005549,0.020515,0.039044
1,100,9,1400,0.022322,0.002466,0.034078,0.026081
1,100,11,100,0.020687,0.002891,0.022156,0.001607
1,100,11,200,0.030222,0.001111,0.027526,0.014628
1,100,11,300,0.016026,0.002993,0.017276,0.006639
1,100,11,400,0.01531,0.000924,0.020439,0.008296
1,100,11,500,0.020214,0.001637,0.012731,0.018629
1,100,11,600,0.019813,0.002223,0.015341,0.021661
1,100,11,700,0.025199,0.003405,0.019202,0.02288
1,100,11,800,0.023479,0.001902,0.014478,0.016432
1,100,11,900,0.014809,0.002065,0.010787,0.01636
1,100,11,1000,0.012968,0.005663,0.009872,0.018484
1,100,11,1100,0.016151,0.00156,0.013882,0.021298
1,100,11,1200,0.007361,0.001504,0.010925,0.025832
1,100,11,1300,0.00711,0.001704,0.005387,0.015056
1,100,11,1400,0.006875,0.002015,0.007997,0.017436
11,80,3,100,0.016416,0.00731,0.020088,0.008875
11,80,3,200,0.033446,0.009247,0.021161,0.010746
11,80,3,300,0.015565,0.007051,0.012849,0.006172
11,80,3,400,0.013295,0.004743,0.016171,0.007996
11,80,3,500,0.014937,0.006817,0.018108,0.006976
11,80,3,600,0.014906,0.008181,0.013779,0.005464
11,80,3,700,0.012958,0.006393,0.01125,0.006134
11,80,3,800,0.014663,0.007714,0.013373,0.008637
11,80,3,900,0.012735,0.005938,0.013292,0.008016
11,80,3,1000,0.013057,0.007186,0.010339,0.007206
11,80,3,1100,0.010884,0.007724,0.013277,0.005779
11,80,3,1200,0.013652,0.009444,0.016287,0.014477
11,80,3,1300,0.012335,0.009336,0.010361,0.007333
11,80,3,1400,0.011776,0.007696,0.011177,0.008293
11,80,5,100,0.010245,0.004927,0.011843,0.004464
11,80,5,200,0.009483,0.006036,0.010341,0.005681
11,80,5,300,0.012236,0.006833,0.012199,0.007171
11,80,5,400,0.012617,0.004226,0.011,0.00591
11,80,5,500,0.010435,0.006047,0.012524,0.007036
11,80,5,600,0.01076,0.007201,0.01246,0.009029
11,80,5,700,0.010407,0.005324,0.012338,0.007496
11,80,5,800,0.010959,0.007102,0.012628,0.008478
11,80,5,900,0.012963,0.007563,0.011316,0.008588
11,80,5,1000,0.013122,0.007352,0.018208,0.012145
11,80,5,1100,0.010701,0.007523,0.011461,0.007712
11,80,5,1200,0.009145,0.008504,0.011943,0.008128
11,80,5,1300,0.009912,0.006807,0.011937,0.009849
11,80,5,1400,0.010146,0.006376,0.013111,0.012098
11,80,7,100,0.01132,0.006083,0.011845,0.006822
11,80,7,200,0.010772,0.00594,0.0119,0.006361
11,80,7,300,0.010711,0.004768,0.011236,0.007423
11,80,7,400,0.012164,0.00397,0.009667,0.006333
11,80,7,500,0.011008,0.007269,0.012538,0.006354
11,80,7,600,0.00997,0.006679,0.01258,0.00768
11,80,7,700,0.011057,0.005573,0.01029,0.009987
11,80,7,800,0.011342,0.006714,0.015758,0.013345
11,80,7,900,0.013934,0.00682,0.010493,0.009734
11,80,7,1000,0.01411,0.007024,0.011801,0.012753
11,80,7,1100,0.01027,0.006492,0.01077,0.012132
11,80,7,1200,0.014528,0.008365,0.019709,0.021545
11,80,7,1300,0.021131,0.016068,0.018391,0.023126
11,80,7,1400,0.023074,0.013299,0.011997,0.027697
11,80,9,100,0.01352,0.006252,0.010958,0.005233
11,80,9,200,0.008583,0.003567,0.008292,0.004865
11,80,9,300,0.008184,0.003575,0.009135,0.006629
11,80,9,400,0.008238,0.003866,0.008048,0.006453
11,80,9,500,0.008354,0.004474,0.009655,0.007826
11,80,9,600,0.008481,0.005142,0.01007,0.008909
11,80,9,700,0.008785,0.004195,0.008617,0.009437
11,80,9,800,0.008729,0.004587,0.008509,0.010546
11,80,9,900,0.009707,0.005999,0.008803,0.011571
11,80,9,1000,0.008823,0.005724,0.008809,0.012223
11,80,9,1100,0.008404,0.004629,0.008021,0.012692
