Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,9,200,0.005712,0.002145,0.00359,0.001413
1,100,9,300,0.004884,0.002814,0.004897,0.00251
1,100,9,400,0.004324,0.003864,0.004824,0.003194
1,100,9,500,0.004703,0.005244,0.004505,0.003175
1,100,9,600,0.005634,0.005167,0.004253,0.00369
1,100,9,700,0.006031,0.005674,0.005621,0.005169
1,100,9,800,0.004573,0.006082,0.006158,0.005785
1,100,9,900,0.005757,0.007289,0.005099,0.006029
1,100,9,1000,0.005085,0.007651,0.006471,0.005422
1,100,9,1100,0.005165,0.009602,0.005219,0.007764
1,100,9,1200,0.005722,0.010113,0.0043,0.00768
1,100,9,1300,0.005244,0.01093,0.004446,0.006869
1,100,9,1400,0.005089,0.011948,0.006716,0.008031
1,100,11,100,0.005384,0.001552,0.004924,0.001242
1,100,11,200,0.005431,0.003017,0.00442,0.002078
1,100,11,300,0.004512,0.003551,0.005123,0.002941
1,100,11,400,0.004191,0.004551,0.004483,0.003982
1,100,11,500,0.004897,0.006486,0.004297,0.004512
1,100,11,600,0.005576,0.006301,0.005302,0.006966
1,100,11,700,0.003976,0.007957,0.004496,0.005992
1,100,11,800,0.005531,0.009032,0.005643,0.00768
1,100,11,900,0.004868,0.010879,0.005753,0.008425
1,100,11,1000,0.005727,0.010843,0.00468,0.00926
1,100,11,1100,0.004954,0.012187,0.004655,0.01016
1,100,11,1200,0.006893,0.01246,0.005688,0.010494
1,100,11,1300,0.005237,0.014865,0.004925,0.01192
1,100,11,1400,0.00486,0.018855,0.004689,0.01274
11,80,3,100,0.005738,0.001656,0.007364,0.001709
11,80,3,200,0.004968,0.003523,0.005685,0.001661
11,80,3,300,0.006238,0.003201,0.004497,0.003472
11,80,3,400,0.005735,0.002198,0.005926,0.002841
11,80,3,500,0.00501,0.004499,0.00543,0.001763
11,80,3,600,0.005669,0.00429,0.005419,0.003809
11,80,3,700,0.005014,0.002718,0.00709,0.002329
11,80,3,800,0.006271,0.003982,0.004141,0.00202
11,80,3,900,0.006331,0.004887,0.005892,0.003084
11,80,3,1000,0.004174,0.005555,0.005234,0.00224
11,80,3,1100,0.006552,0.003878,0.004638,0.004466
11,80,3,1200,0.005096,0.003803,0.006502,0.002841
11,80,3,1300,0.006624,0.004746,0.003953,0.0055
11,80,3,1400,0.005103,0.004253,0.006045,0.00269
11,80,5,100,0.006356,0.002272,0.004423,0.001659
11,80,5,200,0.005838,0.003425,0.004418,0.003379
11,80,5,300,0.005259,0.002307,0.005745,0.002904
11,80,5,400,0.004498,0.004203,0.005094,0.001982
11,80,5,500,0.006534,0.002689,0.004378,0.004286
11,80,5,600,0.005158,0.002877,0.00704,0.002871
11,80,5,700,0.006414,0.005403,0.004247,0.002854
11,80,5,800,0.00544,0.004147,0.005565,0.003433
11,80,5,900,0.005349,0.005068,0.004226,0.002388
11,80,5,1000,0.005636,0.0057,0.00559,0.003644
11,80,5,1100,0.003843,0.004539,0.005277,0.003199
11,80,5,1200,0.005023,0.005852,0.004569,0.004553
11,80,5,1300,0.004512,0.004539,0.0055,0.003083
11,80,5,1400,0.004884,0.006866,0.004322,0.005038
11,80,7,100,0.004374,0.001935,0.005965,0.002282
11,80,7,200,0.003982,0.002344,0.006653,0.00225
11,80,7,300,0.004439,0.00322,0.005003,0.002468
11,80,7,400,0.004838,0.004696,0.004465,0.002406
11,80,7,500,0.004754,0.004161,0.004809,0.003543
11,80,7,600,0.00398,0.00398,0.005647,0.003079
11,80,7,700,0.005765,0.004859,0.004535,0.003362
11,80,7,800,0.004764,0.005125,0.00578,0.003832
11,80,7,900,0.004888,0.006727,0.004397,0.00375
11,80,7,1000,0.004433,0.006339,0.006185,0.004279
11,80,7,1100,0.005365,0.007706,0.005182,0.005663
11,80,7,1200,0.004894,0.007119,0.005511,0.003855
11,80,7,1300,0.00593,0.008637,0.005141,0.004351
11,80,7,1400,0.006026,0.007822,0.005786,0.005085
11,80,9,100,0.004813,0.002786,0.005152,0.002271
11,80,9,200,0.005124,0.003995,0.004743,0.002425
11,80,9,300,0.004634,0.004328,0.005849,0.003654
11,80,9,400,0.004982,0.004172,0.005517,0.003673
11,80,9,500,0.006301,0.004367,0.005779,0.0046
11,80,9,600,0.004996,0.005646,0.004967,0.003809
11,80,9,700,0.0048,0.006925,0.006388,0.003396
11,80,9,800,0.006118,0.006712,0.005002,0.00429
11,80,9,900,0.005169,0.007448,0.005522,0.004037
11,80,9,1000,0.005548,0.007571,0.005303,0.005791
11,80,9,1100,0.005,0.008593,0.004273,0.004977
11,80,9,1200,0.005329,0.010055,0.005554,0.004876
11,80,9,1300,0.004712,0.010498,0.004996,0.004941
11,80,9,1400,0.006685,0.010251,0.006392,0.005644
11,80,11,100,0.006225,0.002602,0.004909,0.002634
11,80,11,200,0.005353,0.003908,0.006462,0.002832
11,80,11,300,0.004499,0.004229,0.005364,0.002975
11,80,11,400,0.005717,0.004785,0.006134,0.003967
11,80,11,500,0.004846,0.005797,0.004441,0.003567
11,80,11,600,0.005758,0.006335,0.006023,0.004155
11,80,11,700,0.004516,0.007213,0.00463,0.003922
11,80,11,800,0.005654,0.008753,0.007883,0.009435
11,80,11,900,0.011672,0.018141,0.009414,0.008723
11,80,11,1000,0.008379,0.011451,0.007307,0.006852
11,80,11,1100,0.007102,0.013113,0.006591,0.006416
11,80,11,1200,0.005568,0.01681,0.005835,0.010301
11,80,11,1300,0.00623,0.015367,0.006278,0.010645
11,80,11,1400,0.005928,0.017506,0.006402,0.010871
11,90,3,100,0.005032,0.002167,0.005689,0.001977
11,90,3,200,0.007302,0.003511,0.007376,0.004639
11,90,3,300,0.008464,0.003164,0.004998,0.001967
11,90,3,400,0.005478,0.002867,0.006498,0.001946
11,90,3,500,0.004747,0.002853,0.004835,0.001921
11,90,3,600,0.006924,0.00286,0.006124,0.004332
11,90,3,700,0.005631,0.005269,0.006837,0.002587
11,90,3,800,0.007241,0.009266,0.009573,0.004411
11,90,3,900,0.00829,0.006135,0.008177,0.004192
11,90,3,1000,0.005164,0.005163,0.006457,0.003405
11,90,3,1100,0.004028,0.003893,0.006106,0.002455
11,90,3,1200,0.005914,0.004401,0.004477,0.003839
11,90,3,1300,0.004106,0.00443,0.008094,0.006533
11,90,3,1400,0.007294,0.005599,0.007619,0.002815
11,90,5,100,0.006187,0.002845,0.004872,0.003419
11,90,5,200,0.003937,0.001896,0.006615,0.002003
11,90,5,300,0.004311,0.002444,0.006223,0.002403
11,90,5,400,0.00578,0.003503,0.003796,0.002073
11,90,5,500,0.0051,0.003479,0.004903,0.00422
11,90,5,600,0.003985,0.003137,0.005301,0.003302
11,90,5,700,0.005362,0.005527,0.00425,0.002681
11,90,5,800,0.00527,0.004599,0.006659,0.003273
11,90,5,900,0.004196,0.004148,0.005799,0.002498
11,90,5,1000,0.005911,0.005181,0.00445,0.003468
11,90,5,1100,0.005531,0.004694,0.004992,0.003764
11,90,5,1200,0.006067,0.005421,0.00417,0.003216
