Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,40,0.012995,0.000298,0.00239,0.00016,0.003107,0.00236,0.002929,0.000773,0.002959,0.000181,0.002888,0.000106,0.002383,0.002222,0.003107,0.001865
1,40,0.00609,0.000138,0.003596,0.000188,0.003021,0.002565,0.002651,0.001562,0.002226,0.000127,0.002775,0.000117,0.002903,0.00509,0.00273,0.002969
1,40,0.012463,0.00026,0.00223,0.000131,0.002104,0.002035,0.003246,0.000832,0.003113,0.000204,0.003083,0.000149,0.002154,0.002946,0.003333,0.001914
1,40,0.012926,0.000195,0.002141,0.000152,0.002946,0.002317,0.002294,0.000804,0.002441,0.00017,0.003011,0.000173,0.002617,0.004371,0.002194,0.002327
1,40,0.013757,0.000376,0.002625,0.000158,0.003266,0.002646,0.003188,0.001093,0.002553,0.000163,0.002674,0.000153,0.002961,0.005236,0.003053,0.001778
1,40,0.005326,0.000277,0.004798,0.000182,0.003164,0.001906,0.002529,0.000875,0.003426,0.000186,0.004056,0.000153,0.003147,0.00364,0.003268,0.003259
1,40,0.010441,0.000282,0.003114,0.000175,0.002968,0.001655,0.003118,0.000858,0.00209,0.000114,0.00221,0.0002,0.003163,0.004738,0.002776,0.002951
1,40,0.006304,0.000138,0.004489,0.000338,0.002587,0.001572,0.002314,0.001064,0.003558,0.000138,0.004301,0.00011,0.002344,0.002973,0.003227,0.003229
1,40,0.013442,0.000361,0.003424,0.000152,0.003379,0.002074,0.002373,0.000743,0.002936,0.000161,0.003178,0.00018,0.003194,0.004083,0.002455,0.002943
1,40,0.005432,0.000127,0.004018,0.000175,0.002462,0.001772,0.003479,0.001588,0.003028,0.000166,0.003347,0.000112,0.002479,0.004785,0.003182,0.003173
1,40,0.011545,0.000214,0.005385,0.000297,0.004015,0.001818,0.005361,0.000898,0.004551,0.000192,0.00396,0.000217,0.005331,0.004582,0.004307,0.002276
1,40,0.007058,0.000371,0.003873,0.000232,0.002696,0.001809,0.004016,0.001472,0.002983,0.000133,0.003533,0.000109,0.003019,0.004654,0.003758,0.002717
1,40,0.012545,0.00022,0.005186,0.00024,0.004806,0.005069,0.0046,0.001699,0.003965,0.000267,0.006042,0.000243,0.004549,0.007477,0.004082,0.005074
1,40,0.025643,0.000439,0.00417,0.000142,0.007129,0.004682,0.006745,0.002053,0.008326,0.000482,0.005362,0.00018,0.007438,0.008778,0.007139,0.006864
1,40,0.01395,0.000353,0.002485,0.000129,0.002514,0.001955,0.003985,0.001527,0.003264,0.000141,0.002284,0.000113,0.002469,0.005283,0.003575,0.003088
1,60,0.012224,0.00023,0.002974,0.000215,0.002185,0.001436,0.002493,0.001104,0.003063,0.000145,0.002999,0.000147,0.002693,0.003505,0.002677,0.003124
1,60,0.012653,0.000314,0.004315,0.000152,0.002833,0.001897,0.002069,0.000762,0.002074,0.000137,0.002599,0.000164,0.00289,0.004615,0.002145,0.002072
1,60,0.012485,0.000275,0.004223,0.000268,0.004286,0.003131,0.004955,0.001404,0.003978,0.00022,0.006052,0.000217,0.004319,0.005786,0.005922,0.003584
1,60,0.013944,0.000266,0.004794,0.000252,0.005353,0.004145,0.004219,0.001486,0.003952,0.000312,0.00614,0.000358,0.004417,0.007413,0.005328,0.005154
1,60,0.023874,0.000296,0.005555,0.000282,0.004901,0.004329,0.005964,0.001335,0.006032,0.000415,0.005978,0.000302,0.005122,0.006324,0.005161,0.003812
1,60,0.013507,0.000291,0.002542,0.000133,0.002476,0.001863,0.003132,0.000868,0.003223,0.000137,0.002968,0.000109,0.002258,0.00231,0.003934,0.001625
1,60,0.006363,0.000318,0.00372,0.000204,0.002958,0.002628,0.002953,0.000964,0.002108,0.000109,0.002638,0.000122,0.00264,0.005316,0.00274,0.002175
1,60,0.012097,0.000233,0.002328,0.000106,0.002068,0.001839,0.00368,0.000976,0.002486,0.000118,0.002995,0.000113,0.002181,0.002641,0.003259,0.002582
