Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,1,0.027011,0.000334,0.003907,0.000161,0.002864,0.000116,0.002738,0.00013
11,100,1,0.03266,0.003592,0.008102,0.002116,0.0072,0.002014,0.007298,0.00218
21,100,1,0.035871,0.012407,0.02099,0.011053,0.02078,0.011087,0.018793,0.009847
31,100,1,0.046284,0.031895,0.029293,0.022269,0.032886,0.027057,0.030285,0.021398
41,100,1,0.063905,0.064611,0.04957,0.044081,0.064269,0.047598,0.048045,0.043302
51,100,1,0.079568,0.101537,0.072204,0.073216,0.065884,0.068054,0.05272,0.066462
61,100,1,0.08318,0.123151,0.082925,0.09182,0.090474,0.08781,0.096582,0.093077
71,100,1,0.095685,0.182359,0.14424,0.165572,0.12654,0.133162,0.147102,0.143665
81,100,1,0.126045,0.270713,0.195522,0.230176,0.201615,0.157101,0.150567,0.171301
91,100,1,0.160745,0.331136,0.169062,0.247205,0.194356,0.171604,0.252219,0.200075
101,100,1,0.179753,0.386688,0.265651,0.285352,0.209184,0.278075,0.263386,0.317189
1,100,1,0.042249,0.00053,0.008176,0.000296,0.006542,0.000231,0.006333,0.000268
11,100,1,0.335552,0.011927,0.006892,0.001581,0.006219,0.001455,0.006043,0.001533
21,100,1,0.39513,0.044545,0.013376,0.006836,0.013333,0.006276,0.013769,0.0073
31,100,1,0.612379,0.114771,0.020789,0.012389,0.026243,0.016302,0.025213,0.020916
41,100,1,0.641624,0.208401,0.03633,0.028662,0.028396,0.025518,0.041227,0.036859
51,100,1,0.499542,0.28847,0.048446,0.049203,0.053903,0.0466,0.041761,0.045347
61,100,1,0.661024,0.444124,0.077493,0.071112,0.072219,0.062193,0.060382,0.072013
71,100,1,0.628062,0.578529,0.084133,0.101174,0.088884,0.099126,0.090167,0.091368
81,100,1,0.761161,0.760768,0.087623,0.1145,0.11528,0.129261,0.108613,0.100453
91,100,1,0.837433,0.938762,0.149084,0.177367,0.096174,0.148061,0.11528,0.128602
101,100,1,0.947132,1.16476,0.12187,0.219123,0.110088,0.189112,0.130073,0.212463
1,100,1,0.018622,0.000245,0.005179,0.000204,0.004408,0.000155,0.00419,0.000187
11,100,1,0.326558,0.012119,0.007233,0.001824,0.006106,0.001508,0.005857,0.001434
21,100,1,0.333001,0.042486,0.013263,0.006191,0.011318,0.004833,0.008663,0.004618
31,100,1,0.354103,0.085723,0.026908,0.022591,0.021154,0.014696,0.018498,0.012271
41,100,1,0.408324,0.167545,0.032718,0.032476,0.037249,0.031563,0.031265,0.028901
51,100,1,0.419623,0.281392,0.045506,0.048083,0.051504,0.04609,0.043588,0.050137
61,100,1,0.503224,0.390386,0.073384,0.071023,0.06936,0.066753,0.064891,0.067607
71,100,1,0.506097,0.519101,0.081766,0.100548,0.07914,0.091634,0.081851,0.109694
81,100,1,0.576988,0.663577,0.105891,0.102181,0.099054,0.120006,0.110909,0.11333
91,100,1,0.654917,0.814349,0.108296,0.175976,0.122567,0.119682,0.147421,0.141509
101,100,1,0.919978,1.15022,0.168049,0.169582,0.143042,0.149336,0.125978,0.181217
1,100,1,0.011626,0.000213,0.003316,0.000143,0.002548,0.000106,0.002451,0.000119
11,100,1,0.005755,0.001278,0.004035,0.00137,0.003974,0.001309,0.004007,0.001356
21,100,1,0.006552,0.004248,0.00877,0.004869,0.010202,0.004909,0.010367,0.005769
31,100,1,0.01243,0.015642,0.026464,0.020117,0.021177,0.014831,0.016457,0.012207
41,100,1,0.013216,0.020409,0.041864,0.038827,0.032053,0.02608,0.027702,0.029635
51,100,1,0.01992,0.049009,0.044555,0.045781,0.052566,0.050306,0.038506,0.045261
61,100,1,0.027458,0.072349,0.057574,0.070548,0.064414,0.063132,0.071598,0.0679
71,100,1,0.021364,0.080352,0.080652,0.101329,0.073025,0.096282,0.082311,0.104308
81,100,1,0.023442,0.091755,0.079931,0.132075,0.125527,0.115003,0.094655,0.101643
91,100,1,0.039674,0.141274,0.098446,0.164009,0.120934,0.105363,0.155701,0.147942
101,100,1,0.050869,0.166668,0.134927,0.212892,0.13301,0.193921,0.15106,0.214657
1,100,1,0.029109,0.000397,0.008418,0.000298,0.006961,0.000208,0.006864,0.00026
11,100,1,0.170769,0.009807,0.007189,0.001507,0.006321,0.001316,0.00592,0.001346
21,100,1,0.133879,0.027807,0.011864,0.006295,0.010865,0.005307,0.009653,0.005917
31,100,1,0.152033,0.060652,0.021682,0.018857,0.019698,0.012112,0.016325,0.012404
41,100,1,0.198087,0.123387,0.042685,0.038201,0.02978,0.027015,0.037049,0.032859
51,100,1,0.248203,0.204063,0.053947,0.055648,0.044023,0.039076,0.053407,0.057503
61,100,1,0.315874,0.282085,0.073054,0.073007,0.06078,0.067393,0.061554,0.068593
71,100,1,0.266043,0.368625,0.079063,0.099495,0.080655,0.094189,0.080256,0.104597
81,100,1,0.281074,0.442963,0.100073,0.141472,0.122855,0.101389,0.078834,0.104617
91,100,1,0.408914,0.632167,0.09261,0.145309,0.130967,0.107811,0.16348,0.165115
101,100,1,0.395925,0.679395,0.110327,0.200008,0.109522,0.18193,0.122504,0.214833
1,100,1,0.025399,0.000334,0.007527,0.000261,0.006836,0.000209,0.006698,0.000256
11,100,1,0.46386,0.014912,0.011719,0.002285,0.009882,0.002015,0.01003,0.002126
21,100,1,0.577213,0.051647,0.008498,0.005151,0.010022,0.005512,0.01055,0.006055
