Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAO, time_subproblem_BAO, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
61,90,2,600,0.087045,0.178595,0.128564,0.099048,0.141231,0.04797,0.143261,0.047896,0.033377,0.050591,0.032727,0.050008,0.033637,0.045879,0.033161,0.046486,0.032754,0.050911,0.034494,0.046807
81,90,2,600,0.102396,0.286512,0.136985,0.15802,0.305429,0.07899,0.213609,0.082264,0.051691,0.079321,0.052836,0.079141,0.049844,0.078812,0.050858,0.079378,0.053288,0.083347,0.052928,0.077181
101,90,2,600,0.21888,0.724726,0.269918,0.381839,0.630919,0.166305,0.575065,0.156003,0.093968,0.154279,0.101212,0.176792,0.114951,0.163314,0.098352,0.175087,0.098724,0.158061,0.109125,0.155215
1,90,2,600,0.020272,0.000563,0.023022,0.000188,0.003247,0.000128,0.002269,0.000118,0.002626,0.000962,0.005676,0.001617,0.004622,0.000162,0.002803,0.000144,0.004788,0.002829,0.004096,0.000842
21,90,2,600,0.040222,0.02672,0.048019,0.017134,0.101653,0.010677,0.079272,0.007707,0.022357,0.012136,0.019258,0.020425,0.02248,0.016169,0.02095,0.015473,0.022303,0.022116,0.022888,0.023984
41,90,2,600,0.040697,0.078992,0.050223,0.043577,0.197771,0.040661,0.187218,0.034105,0.043127,0.060123,0.039062,0.052445,0.043721,0.053154,0.052402,0.056031,0.05158,0.04667,0.045986,0.049044
61,90,2,600,0.044862,0.150757,0.067723,0.065227,0.376269,0.075439,0.282563,0.061657,0.073187,0.119343,0.063424,0.10214,0.064017,0.094921,0.063355,0.108868,0.067181,0.105712,0.065283,0.103313
81,90,2,600,0.052423,0.235619,0.067407,0.125731,0.543008,0.100509,0.426795,0.09956,0.111322,0.163795,0.081723,0.129385,0.08003,0.124151,0.083947,0.123691,0.07936,0.130794,0.086354,0.15862
101,90,2,600,0.066501,0.303089,0.071245,0.180021,0.637287,0.135843,0.535949,0.121351,0.119542,0.196846,0.116216,0.200434,0.120075,0.19341,0.12011,0.190691,0.123189,0.196537,0.117617,0.196299
1,90,2,600,0.005942,0.000168,0.00783,0.000242,0.004902,0.00024,0.0034,0.0002,0.002969,0.001009,0.003959,0.000802,0.003443,0.000221,0.003099,0.000127,0.002804,0.000961,0.004224,0.001076
21,90,2,600,0.007868,0.008864,0.007322,0.003285,0.095242,0.009108,0.05874,0.007794,0.010262,0.006759,0.011789,0.006704,0.010806,0.007952,0.009789,0.00738,0.007212,0.006796,0.007567,0.009709
41,90,2,600,0.007061,0.025585,0.010967,0.013986,0.155024,0.029994,0.141227,0.028793,0.016976,0.0314,0.016311,0.032516,0.017479,0.028809,0.019583,0.029517,0.017551,0.030877,0.017051,0.028116
61,90,2,600,0.009556,0.052244,0.016858,0.025449,0.253777,0.048796,0.199907,0.048611,0.031929,0.054631,0.032523,0.049013,0.032292,0.048605,0.033441,0.047347,0.032023,0.054033,0.031999,0.049762
81,90,2,600,0.011903,0.085311,0.018611,0.044995,0.344851,0.079554,0.304862,0.079185,0.052119,0.080359,0.050279,0.081688,0.05014,0.080551,0.051357,0.078229,0.050359,0.083812,0.049936,0.08222
101,90,2,600,0.01552,0.121565,0.026652,0.060276,0.584384,0.120581,0.446564,0.115432,0.074963,0.119378,0.077199,0.117241,0.090719,0.125516,0.073758,0.120121,0.077191,0.123911,0.073044,0.128487
1,90,2,600,0.013262,0.000409,0.017369,0.00024,0.002209,0.000147,0.002675,0.000224,0.004234,0.001259,0.002808,0.00039,0.002055,0.000181,0.00297,0.000196,0.004371,0.001216,0.002732,0.00034
21,90,2,600,0.014185,0.013311,0.017135,0.004478,0.074987,0.008758,0.060921,0.006986,0.009795,0.006617,0.009507,0.011099,0.007246,0.006866,0.010959,0.006326,0.008346,0.008445,0.00727,0.009493
41,90,2,600,0.015753,0.037217,0.020676,0.024881,0.145929,0.024971,0.145041,0.029149,0.016037,0.029438,0.016107,0.031883,0.016087,0.027925,0.017194,0.027904,0.016149,0.030838,0.016097,0.029156
61,90,2,600,0.020237,0.077796,0.029188,0.037846,0.237677,0.048445,0.229778,0.047991,0.030582,0.048952,0.029463,0.050776,0.030465,0.047165,0.036526,0.04862,0.030599,0.049311,0.032178,0.048132
81,90,2,600,0.024783,0.126298,0.033529,0.062763,0.408571,0.079409,0.334277,0.079542,0.049681,0.082094,0.050795,0.077966,0.052735,0.075337,0.049603,0.078863,0.049496,0.081286,0.048636,0.084413
101,90,2,600,0.030276,0.179135,0.039199,0.092998,0.621921,0.119422,0.496508,0.120049,0.072853,0.123584,0.072421,0.12317,0.074468,0.116874,0.079188,0.111949,0.077096,0.118432,0.072448,0.128969
1,90,2,600,0.024369,0.000531,0.033471,0.000273,0.004229,0.00031,0.005352,0.000397,0.007148,0.001103,0.004316,0.000613,0.008498,0.000378,0.004211,0.0003,0.005022,0.001051,0.005322,0.000584
21,90,2,600,0.205688,0.042095,0.265427,0.020924,0.030955,0.007154,0.028157,0.008297,0.009623,0.007429,0.010815,0.007096,0.012213,0.007326,0.011606,0.006376,0.009809,0.00945,0.01251,0.007955
41,90,2,600,0.20926,0.134524,0.476599,0.091843,0.079231,0.028373,0.095943,0.026942,0.016838,0.03039,0.017529,0.02909,0.016771,0.027867,0.017859,0.027614,0.016704,0.029413,0.016697,0.028927
61,90,2,600,0.182923,0.255863,0.377865,0.152987,0.159649,0.053663,0.157778,0.046125,0.034874,0.047918,0.031438,0.048755,0.032759,0.046987,0.033364,0.04764,0.032684,0.052923,0.032522,0.050866
81,90,2,600,0.235487,0.44599,0.376769,0.218871,0.213418,0.079673,0.193675,0.080543,0.050832,0.084421,0.05118,0.081657,0.049592,0.079204,0.05125,0.079518,0.050229,0.083501,0.049964,0.087973
101,90,2,600,0.224499,0.607523,0.405051,0.326575,0.335811,0.11971,0.287209,0.120509,0.073496,0.124734,0.078244,0.121428,0.074824,0.119511,0.07454,0.118827,0.080465,0.124483,0.073512,0.125909
1,90,2,600,0.012978,0.000536,0.016629,0.000184,0.002347,0.000196,0.002747,0.000205,0.003738,0.001509,0.003665,0.000677,0.002321,0.00016,0.003103,0.000196,0.00357,0.001587,0.003574,0.000716
21,90,2,600,0.023969,0.017063,0.033858,0.007667,0.076613,0.008694,0.050458,0.007594,0.014168,0.013985,0.01351,0.018773,0.014996,0.009552,0.01735,0.013219,0.017003,0.012874,0.015501,0.016012
41,90,2,600,0.031945,0.05026,0.043881,0.026039,0.156671,0.029484,0.148932,0.028953,0.026827,0.04582,0.027466,0.043639,0.027381,0.041178,0.029254,0.042108,0.027451,0.045252,0.027494,0.043038
61,90,2,600,0.030383,0.102009,0.037957,0.049034,0.256012,0.048324,0.207913,0.047422,0.052893,0.081263,0.049566,0.076458,0.052132,0.073231,0.053388,0.074832,0.050484,0.077764,0.050704,0.077696
81,90,2,600,0.036928,0.162438,0.033311,0.090031,0.428935,0.082735,0.366256,0.080044,0.079816,0.128757,0.079352,0.128624,0.084315,0.125683,0.08197,0.124031,0.081252,0.127262,0.082673,0.127603
