Gamma, tau, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
61,80,0.060542,0.068591,0.062181,0.068754
61,80,0.05317,0.049738,0.042083,0.047751
61,80,0.060976,0.067585,0.055896,0.066274
61,80,0.058701,0.077652,0.060246,0.068821
61,80,0.060739,0.068678,0.06035,0.070792
61,80,0.061174,0.06638,0.060476,0.067911
61,80,0.037654,0.043645,0.046985,0.047255
61,80,0.061939,0.060401,0.058281,0.069805
61,80,0.058638,0.066583,0.059526,0.070042
61,80,0.060586,0.06711,0.065909,0.067318
61,80,0.060585,0.069621,0.060906,0.07469
61,80,0.034604,0.045403,0.04043,0.050134
61,80,0.057657,0.056689,0.0592,0.06911
61,80,0.05992,0.068622,0.061438,0.077089
61,90,0.059713,0.064318,0.059246,0.068589
61,90,0.059601,0.068177,0.059725,0.067399
61,90,0.036735,0.043424,0.042755,0.063025
61,90,0.049954,0.068001,0.05681,0.065039
61,90,0.060922,0.065875,0.067822,0.061436
61,90,0.055551,0.068376,0.060305,0.080554
61,90,0.061723,0.067235,0.062084,0.065715
61,90,0.038156,0.03847,0.04249,0.061263
61,90,0.054761,0.065525,0.057433,0.067327
61,90,0.064021,0.064225,0.061631,0.069392
61,90,0.059434,0.068156,0.059283,0.07073
61,90,0.060626,0.073238,0.062302,0.065001
61,90,0.027901,0.031649,0.059636,0.06136
61,90,0.057804,0.066704,0.058059,0.072563
61,90,0.061006,0.068343,0.059806,0.077092
61,100,0.059952,0.068485,0.061008,0.068003
61,100,0.066028,0.061865,0.056114,0.064935
61,100,0.025184,0.031752,0.055923,0.056548
61,100,0.061543,0.064895,0.057759,0.063825
61,100,0.059309,0.068936,0.060269,0.069415
61,100,0.062173,0.067957,0.060098,0.07132
61,100,0.060614,0.067622,0.053282,0.066446
61,100,0.025237,0.038497,0.042489,0.066615
61,100,0.061085,0.073584,0.057824,0.073467
61,100,0.059552,0.067966,0.061689,0.067876
61,100,0.066348,0.057475,0.061017,0.071501
61,100,0.060262,0.068285,0.05932,0.060273
61,100,0.029256,0.050212,0.052143,0.070566
61,100,0.057855,0.063683,0.056359,0.071931
61,100,0.061105,0.068972,0.060052,0.079026
71,80,0.075566,0.092253,0.077865,0.084932
71,80,0.077595,0.063753,0.056909,0.060687
71,80,0.064888,0.081434,0.071705,0.087221
71,80,0.076075,0.088333,0.073704,0.087429
71,80,0.074456,0.089433,0.074421,0.089559
71,80,0.049988,0.062816,0.055432,0.07674
71,80,0.079168,0.086758,0.070491,0.086978
71,80,0.077865,0.084751,0.073483,0.089728
71,80,0.073302,0.089307,0.074132,0.091761
71,80,0.044137,0.061642,0.064479,0.079125
71,80,0.075911,0.077681,0.07333,0.090685
71,80,0.077289,0.086811,0.077386,0.090447
71,80,0.075402,0.087613,0.076168,0.083179
71,80,0.041449,0.058657,0.069212,0.091121
71,80,0.070681,0.08593,0.071653,0.100064
71,90,0.077535,0.082804,0.074006,0.087226
71,90,0.07673,0.086846,0.066209,0.080402
71,90,0.054947,0.061773,0.062614,0.082449
71,90,0.074176,0.0834,0.075915,0.090342
71,90,0.074619,0.087677,0.074063,0.091499
71,90,0.076512,0.086579,0.049916,0.065201
71,90,0.051997,0.066081,0.075486,0.092613
