Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
21,100,2,600,0.004489,0.003615,0.053821,0.004376,0.005675,0.004507,0.005384,0.004417,0.005338,0.003918,0.005877,0.003871,0.005374,0.004614,0.00546,0.004286
41,100,2,600,0.006527,0.013361,0.150587,0.014744,0.013962,0.0161,0.014351,0.018358,0.01427,0.01436,0.014618,0.014558,0.014164,0.016146,0.014204,0.01591
61,100,2,600,0.009848,0.028954,0.234674,0.03334,0.028033,0.034922,0.027984,0.034707,0.027933,0.032273,0.029189,0.032156,0.028104,0.035389,0.028103,0.034781
81,100,2,600,0.01437,0.050718,0.684364,0.056527,0.046075,0.060053,0.04636,0.060039,0.046175,0.05633,0.046787,0.056475,0.046198,0.059746,0.046563,0.059481
101,100,2,600,0.018451,0.078673,0.827183,0.086572,0.074327,0.08588,0.067847,0.092186,0.067932,0.10049,0.069024,0.086438,0.067844,0.092689,0.068108,0.105992
1,100,2,600,0.016663,0.000202,0.002794,9.9e-05,0.004327,0.000601,0.004438,0.000381,0.005488,0.000182,0.004472,0.000135,0.004176,0.000643,0.004154,0.000412
21,100,2,600,0.182073,0.021734,0.020026,0.003944,0.005976,0.005349,0.005892,0.004746,0.005708,0.003918,0.006456,0.003903,0.005842,0.005378,0.005813,0.004781
41,100,2,600,0.169597,0.073486,0.115684,0.014243,0.014945,0.017119,0.014979,0.016304,0.014708,0.014849,0.015371,0.014661,0.014857,0.017436,0.014474,0.016288
61,100,2,600,0.169618,0.144006,0.170709,0.032318,0.028464,0.0362,0.02842,0.035151,0.028141,0.032137,0.029039,0.032574,0.02842,0.041128,0.028494,0.035305
81,100,2,600,0.209682,0.25303,0.241143,0.051114,0.046503,0.061556,0.046629,0.060378,0.046302,0.05633,0.04728,0.056209,0.046673,0.061474,0.04806,0.060884
