Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKOPT, time_subproblem_KCRDKOPT, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
1,40,0.020312,0.000447,0.004344,0.000208,0.004298,0.003695,0.004169,0.001682,0.005189,0.000223,0.005182,0.00021,0.004044,0.005958
1,40,0.018017,0.000382,0.003833,0.000268,0.003819,0.002564,0.005166,0.002195,0.004261,0.000206,0.004067,0.000196,0.007206,0.005517
1,40,0.020884,0.000405,0.004598,0.000185,0.003601,0.002243,0.003711,0.001531,0.004585,0.000183,0.002756,0.000113,0.00293,0.003645
1,40,0.006286,0.000195,0.003922,0.000122,0.002609,0.001882,0.003829,0.001479,0.003144,0.000132,0.003614,0.000128,0.002816,0.003958
1,40,0.013503,0.000247,0.003472,0.000183,0.003103,0.000952,0.002649,0.000498,0.002641,0.000142,0.002777,0.000136,0.003631,0.002294
1,40,0.012257,0.00036,0.002833,0.000199,0.002254,0.001569,0.002269,0.000822,0.003335,0.000168,0.003222,0.000184,0.002824,0.003241
1,60,0.023653,0.000412,0.006054,0.000258,0.004863,0.00287,0.006054,0.001604,0.005849,0.00023,0.005925,0.000349,0.005319,0.005103
1,60,0.013163,0.000326,0.005553,0.000309,0.005703,0.002267,0.004376,0.000903,0.005054,0.000258,0.004938,0.000204,0.004585,0.003824
1,60,0.0131,0.000242,0.004855,0.000205,0.004176,0.002361,0.006311,0.001324,0.003782,0.000167,0.005177,0.000222,0.004636,0.005409
1,60,0.014317,0.000335,0.002483,0.000123,0.002807,0.001972,0.003661,0.001148,0.002934,0.000141,0.00245,9.7e-05,0.002634,0.003665
1,60,0.012937,0.000314,0.003045,0.000185,0.003067,0.001821,0.002485,0.000797,0.002411,0.000112,0.002602,0.000129,0.003459,0.005049
1,60,0.005452,0.000181,0.003924,0.000149,0.003119,0.001865,0.002521,0.000872,0.002311,0.000151,0.004938,0.000233,0.002957,0.003937
1,60,0.006213,0.00022,0.005258,0.000209,0.002935,0.001722,0.002678,0.000893,0.003483,0.000204,0.004961,0.000144,0.00263,0.003391
1,60,0.014305,0.000277,0.005317,0.000247,0.004783,0.002768,0.003838,0.001282,0.004273,0.000265,0.006502,0.000304,0.004353,0.006517
1,60,0.006346,0.00019,0.003618,0.000162,0.003082,0.00284,0.003349,0.001067,0.002468,9.7e-05,0.003334,0.000102,0.003256,0.004391
1,60,0.012054,0.000261,0.00598,0.000251,0.004151,0.003102,0.00519,0.002021,0.005238,0.000209,0.005047,0.000189,0.004686,0.006318
1,60,0.013093,0.000331,0.00232,0.000183,0.002582,0.001734,0.003063,0.000984,0.002694,0.000134,0.0023,0.000131,0.002431,0.00315
1,60,0.025755,0.000401,0.00345,0.000138,0.008458,0.004567,0.006555,0.001754,0.007348,0.00033,0.005895,0.000225,0.007085,0.007579
1,60,0.012034,0.000308,0.002454,0.000121,0.002853,0.001982,0.003758,0.001088,0.002549,0.000126,0.002452,0.000107,0.003435,0.005208
1,60,0.005787,0.000211,0.005855,0.000251,0.003466,0.002484,0.002882,0.001025,0.002495,9.8e-05,0.00457,0.000201,0.003369,0.003696
1,60,0.012255,0.000334,0.002557,0.000142,0.002297,0.001686,0.00308,0.001671,0.003625,0.000187,0.002664,0.000106,0.002398,0.002594
1,60,0.012294,0.000351,0.002424,0.000131,0.002982,0.001968,0.00365,0.001279,0.002442,0.00012,0.002378,0.000126,0.002763,0.003271
1,60,0.012701,0.000349,0.003072,0.000135,0.002961,0.002565,0.00259,0.000984,0.002413,0.000101,0.003617,0.000195,0.003549,0.00458
1,60,0.004901,0.00017,0.004364,0.000211,0.004047,0.001985,0.002572,0.000818,0.00258,0.000156,0.004205,0.000153,0.003353,0.003618
1,60,0.012946,0.000272,0.002835,0.000142,0.00243,0.001002,0.002973,0.000644,0.0036,0.000181,0.002846,0.00013,0.0026,0.001839
1,60,0.012201,0.000282,0.002339,0.000132,0.002179,0.001699,0.003839,0.001223,0.002739,0.00012,0.002239,0.000133,0.002809,0.004849
1,80,0.032456,0.00055,0.006864,0.000244,0.005212,0.00279,0.00686,0.001779,0.006643,0.000384,0.009792,0.000348,0.009077,0.012053
1,80,0.019936,0.002609,0.012605,0.000442,0.007196,0.004837,0.00949,0.001562,0.007891,0.000224,0.007075,0.000284,0.009836,0.007347
1,80,0.019349,0.00045,0.008605,0.000488,0.007651,0.005033,0.008351,0.002269,0.007644,0.000382,0.007976,0.000354,0.007616,0.009022
1,80,0.020378,0.000423,0.004274,0.000262,0.004326,0.003572,0.005024,0.001555,0.004429,0.000235,0.005112,0.000221,0.004516,0.005823
1,80,0.018556,0.000435,0.005383,0.000323,0.004551,0.003185,0.004865,0.001753,0.004162,0.000211,0.003675,0.000197,0.004533,0.006016
1,80,0.008632,0.000313,0.007102,0.000287,0.004563,0.003173,0.004564,0.001662,0.003189,0.000165,0.004924,0.000177,0.004864,0.006743
1,80,0.00922,0.000309,0.004962,0.000156,0.003114,0.002299,0.004633,0.001803,0.00405,0.000213,0.005241,0.000205,0.004323,0.007428
1,80,0.018477,0.000482,0.01047,0.000382,0.005019,0.003322,0.005743,0.002336,0.004088,0.000249,0.008018,0.000321,0.00451,0.005548
1,80,0.007084,0.000194,0.003666,0.000176,0.002889,0.002036,0.003578,0.001395,0.002739,0.000122,0.003928,0.00017,0.003012,0.004617
1,80,0.013184,0.000302,0.007144,0.000355,0.005445,0.005941,0.005219,0.002213,0.006108,0.000305,0.007539,0.000319,0.005558,0.009055
1,80,0.014328,0.000288,0.002714,0.000163,0.004606,0.003628,0.005943,0.001798,0.004646,0.000273,0.00392,0.000114,0.003397,0.004223
1,80,0.027974,0.000453,0.003988,0.000201,0.009223,0.004958,0.007945,0.003098,0.009866,0.000519,0.008013,0.000299,0.008228,0.00877
1,80,0.01359,0.00034,0.003146,0.000184,0.00267,0.001859,0.004153,0.002294,0.00384,0.000167,0.00357,0.000123,0.0039,0.005952
1,80,0.005467,0.000153,0.004402,0.000205,0.004467,0.002711,0.002884,0.000848,0.002574,9.9e-05,0.004676,0.000156,0.003763,0.003884
1,80,0.013926,0.0003,0.002614,0.000166,0.002501,0.002142,0.002962,0.001964,0.003224,0.000174,0.002616,0.000146,0.002542,0.004567
1,80,0.012668,0.000393,0.004393,0.000328,0.004208,0.002118,0.002587,0.000872,0.003585,0.000207,0.004319,0.000209,0.002769,0.003587
1,80,0.015136,0.000334,0.002827,0.000164,0.004513,0.002927,0.0031,0.001109,0.0028,0.000153,0.00312,0.000158,0.003184,0.00464
1,80,0.005116,0.000167,0.004698,0.000173,0.004064,0.002252,0.00269,0.00093,0.003272,0.000166,0.006239,0.00016,0.00298,0.003425
1,80,0.014604,0.000352,0.002681,0.000181,0.003141,0.001323,0.003656,0.000601,0.004172,0.000229,0.004768,0.000227,0.009019,0.003559
1,80,0.018964,0.000438,0.004556,0.000317,0.004062,0.003019,0.003883,0.001106,0.004885,0.00017,0.002875,0.000194,0.004782,0.006781
1,100,0.033854,0.000635,0.005254,0.000318,0.006279,0.003162,0.005189,0.001341,0.007237,0.000367,0.00553,0.000225,0.005837,0.00578
1,100,0.013739,0.000352,0.005956,0.000309,0.004958,0.001584,0.00654,0.001104,0.004217,0.000227,0.006837,0.000284,0.007344,0.004041
1,100,0.013259,0.000283,0.005395,0.000319,0.006286,0.002716,0.005958,0.002069,0.006059,0.000294,0.004724,0.000245,0.006367,0.005108
1,100,0.016264,0.000289,0.002644,0.000137,0.003685,0.00266,0.003764,0.000863,0.002649,0.00011,0.002504,0.000134,0.004327,0.003727
1,100,0.013092,0.000293,0.003688,0.000164,0.002536,0.001685,0.002432,0.000845,0.004202,0.000208,0.004319,0.000158,0.002556,0.003426
1,100,0.007325,0.000241,0.004211,0.000136,0.002787,0.00167,0.003747,0.001641,0.003297,0.000143,0.002996,0.000115,0.002519,0.003571
1,100,0.00873,0.000239,0.003802,0.000147,0.003624,0.003879,0.003259,0.001037,0.002668,0.000111,0.004073,0.000174,0.004039,0.004577
1,100,0.016521,0.00035,0.008423,0.000426,0.007549,0.004252,0.005392,0.002156,0.007105,0.000399,0.008485,0.003413,0.005067,0.007837
1,100,0.005772,0.000209,0.00457,0.000196,0.004978,0.004028,0.004383,0.001676,0.005056,0.00022,0.003981,0.000146,0.002837,0.003825
1,100,0.014538,0.000383,0.007646,0.000417,0.004199,0.003204,0.007113,0.002715,0.00414,0.000175,0.007277,0.000278,0.004833,0.006489
1,100,0.013609,0.000337,0.003445,0.000273,0.003782,0.002357,0.002542,0.00076,0.002409,0.00011,0.003268,0.00021,0.003223,0.004057
1,100,0.025829,0.000419,0.005271,0.000189,0.007006,0.003617,0.007775,0.002081,0.007307,0.000341,0.006228,0.000181,0.008197,0.008131
1,100,0.011295,0.000248,0.003025,0.00017,0.002845,0.001975,0.003188,0.001607,0.003555,0.000122,0.002699,0.000161,0.003423,0.005464
