Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
81,90,2,600,0.033577,0.100394,0.035566,0.053368,0.037031,0.050868,3.80466,0.194902,3.66658,0.204071,0.077938,0.213264,0.074296,0.183225,0.074391,0.089626,0.08086,0.089076,0.075367,0.222712,0.07424,0.225378
101,90,2,600,0.033734,0.152684,0.037166,0.080558,0.036966,0.07841,10.9167,0.303841,6.69243,0.311628,0.100333,0.352233,0.102703,0.307981,0.099512,0.135731,0.107736,0.136476,0.099671,0.297335,0.100363,0.332091
1,90,2,600,0.065924,0.000417,0.071153,0.000151,0.074142,0.000214,0.02822,0.002225,0.029753,0.002109,0.031357,0.00241,0.029394,0.001882,0.028603,0.000135,0.029632,0.000208,0.031416,0.002581,0.029144,0.002224
21,90,2,600,0.063946,0.01463,0.081306,0.007277,0.1641,0.007812,0.324907,0.023579,0.170244,0.027154,0.033353,0.019665,0.041736,0.019066,0.032907,0.008403,0.040848,0.007361,0.032285,0.027787,0.032744,0.019969
41,90,2,600,0.074332,0.04313,0.081872,0.023959,0.089789,0.023655,0.693836,0.069766,0.583332,0.057071,0.04197,0.06144,0.042465,0.06291,0.04173,0.025033,0.051745,0.026876,0.045635,0.063936,0.041544,0.053725
61,90,2,600,0.064959,0.088158,0.070643,0.047438,0.0956,0.045022,1.67988,0.139149,1.5666,0.119549,0.06025,0.110777,0.059253,0.115772,0.056713,0.052922,0.064229,0.052466,0.057628,0.117092,0.056348,0.113431
81,90,2,600,0.100243,0.202476,0.114957,0.109092,0.085159,0.075789,2.75419,0.194079,2.68779,0.19667,0.121653,0.290047,0.078115,0.176869,0.116892,0.140281,0.131459,0.139334,0.119213,0.29456,0.07669,0.180061
101,90,2,600,0.101103,0.307623,0.112919,0.162068,0.105895,0.116322,4.27664,0.287278,2.97715,0.277097,0.158993,0.460777,0.157326,0.433855,0.155896,0.213978,0.165076,0.213425,0.153816,0.434176,0.156192,0.419409
1,90,2,600,0.06311,0.000356,0.067884,0.000193,0.078788,0.000183,0.024495,0.002463,0.024538,0.001261,0.024151,0.001936,0.027089,0.002416,0.025337,0.000216,0.023194,0.000212,0.024387,0.002059,0.024148,0.002323
21,90,2,600,0.149811,0.021928,0.181589,0.011434,0.140538,0.006471,0.220848,0.027632,0.181357,0.022493,0.056692,0.030866,0.048821,0.034271,0.054163,0.012062,0.066864,0.013162,0.047485,0.033671,0.051761,0.034253
41,90,2,600,0.178588,0.070619,0.215785,0.039879,0.145414,0.02228,0.873454,0.057466,0.705697,0.052907,0.060957,0.102301,0.060987,0.100641,0.061763,0.040272,0.083702,0.038815,0.062582,0.085907,0.065553,0.092815
61,90,2,600,0.189038,0.148298,0.215326,0.079023,0.134428,0.046923,2.46579,0.141597,1.79598,0.143917,0.084963,0.188908,0.084572,0.180023,0.086351,0.082002,0.106923,0.082322,0.0851,0.166439,0.08648,0.207799
81,90,2,600,0.132383,0.201043,0.148472,0.108136,0.278737,0.101248,3.27719,0.213925,3.03329,0.199824,0.115289,0.273761,0.114689,0.294075,0.11536,0.140862,0.134125,0.140164,0.115113,0.30476,0.142931,0.334675
101,90,2,600,0.139103,0.306188,0.150533,0.162657,0.198901,0.153726,8.77987,0.295809,5.15222,0.32576,0.152592,0.495241,0.155448,0.422215,0.153084,0.213645,0.169851,0.213773,0.151966,0.50217,0.161637,0.464966
