Fichier, Gamma, tau, time_master_s_classic, time_subproblem_s_classic, time_master_s_augmented, time_subproblem_s_augmented, time_master_s_augmented_HOG, time_subproblem_s_augmented_HOG
toy_instances/toy_instance_26.txt,1,40,0.013015,0.000394,0.009333,0.000308,0.006788,0.016506
toy_instances/toy_instance_32.txt,1,40,0.030043,0.000609,0.009673,0.00054,0.011022,0.034451
toy_instances/toy_instance_46.txt,1,40,0.01427,0.000398,0.010276,0.000303,0.006807,0.028724
toy_instances/toy_instance_17.txt,1,40,0.025553,0.000889,0.011565,0.000566,0.009603,0.039477
toy_instances/toy_instance_24.txt,1,40,0.050137,0.00072,0.014442,0.000626,0.013342,0.015722
toy_instances/toy_instance_49.txt,1,40,0.049021,0.000846,0.012457,0.000556,0.012301,0.040576
toy_instances/toy_instance_33.txt,1,40,0.013396,0.000431,0.020988,0.000423,0.01069,0.04116
toy_instances/toy_instance_10.txt,1,40,0.052382,0.00073,0.009521,0.000336,0.01304,0.052767
toy_instances/toy_instance_40.txt,1,40,0.072622,0.00067,0.013839,0.000387,0.009749,0.024589
toy_instances/toy_instance_18.txt,1,40,0.049895,0.000551,0.034562,0.00069,0.016145,0.062207
toy_instances/toy_instance_50.txt,1,40,0.028448,0.0006,0.014213,0.000643,0.012504,0.033819
toy_instances/toy_instance_6.txt,1,40,0.027602,0.000519,0.007057,0.000402,0.00665,0.029058
toy_instances/toy_instance_30.txt,1,40,0.022576,0.000362,0.013773,0.000354,0.010673,0.042119
toy_instances/toy_instance_45.txt,1,40,0.064283,0.000742,0.012642,0.000387,0.009999,0.025289
toy_instances/toy_instance_35.txt,1,40,0.024968,0.00034,0.013658,0.000358,0.008866,0.05546
toy_instances/toy_instance_12.txt,1,40,0.098535,0.000884,0.015051,0.000375,0.017831,0.04303
toy_instances/toy_instance_43.txt,1,40,0.080749,0.000584,0.021633,0.000366,0.010543,0.033736
toy_instances/toy_instance_36.txt,1,40,0.050704,0.000807,0.009079,0.000394,0.009889,0.02884
toy_instances/toy_instance_25.txt,1,40,0.031705,0.000544,0.019423,0.000545,0.012305,0.015105
toy_instances/toy_instance_1.txt,1,40,0.012506,0.000377,0.008909,0.000316,0.006465,0.038369
toy_instances/toy_instance_4.txt,1,40,0.02525,0.000361,0.015751,0.000313,0.013989,0.037557
toy_instances/toy_instance_31.txt,1,40,0.083337,0.000666,0.029095,0.000394,0.024946,0.100542
toy_instances/toy_instance_14.txt,1,40,0.039764,0.000607,0.006426,0.000343,0.00661,0.034408
toy_instances/toy_instance_42.txt,1,40,0.07836,0.00181,0.009325,0.00035,0.01411,0.003316
toy_instances/toy_instance_9.txt,1,40,0.02133,0.000337,0.014869,0.000342,0.008667,0.027852
toy_instances/toy_instance_2.txt,1,60,0.01223,0.000341,0.009329,0.000363,0.006408,0.025289
toy_instances/toy_instance_47.txt,1,60,0.044984,0.000695,0.007659,0.000364,0.00836,0.010282
toy_instances/toy_instance_7.txt,1,60,0.012782,0.000358,0.009073,0.000351,0.00723,0.024102
toy_instances/toy_instance_13.txt,1,60,0.010715,0.000337,0.008462,0.00034,0.019409,0.027093
toy_instances/toy_instance_20.txt,1,60,0.050284,0.000773,0.008863,0.000327,0.015956,0.051469
toy_instances/toy_instance_3.txt,1,60,0.013494,0.000338,0.007746,0.000322,0.005778,0.026733
