Gamma, tau, nb_path_to_select, time_master_BA, time_subproblem_BA, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCHOGL, time_subproblem_KCHOGL
11,100,1,0.0907,0.009027,0.005584,0.002423,0.004652,0.002048,0.005453,0.00208
21,100,1,0.268521,0.039613,0.008532,0.008912,0.01167,0.006662,0.009405,0.007199
21,100,1,0.096071,0.029876,0.036771,0.03202,0.042962,0.029118,0.043438,0.031365
21,100,1,0.215519,0.038313,0.009297,0.007177,0.008782,0.007152,0.008133,0.006457
21,100,1,0.328565,0.048724,0.010452,0.007368,0.009395,0.008051,0.009723,0.006863
21,100,1,0.015034,0.010374,0.013976,0.009915,0.012771,0.011671,0.015374,0.010702
21,100,1,0.19109,0.035079,0.008907,0.007565,0.008015,0.006222,0.007381,0.006549
21,100,1,0.014169,0.009569,0.012742,0.011696,0.016977,0.009936,0.011924,0.009786
21,100,1,0.201723,0.039687,0.008508,0.006784,0.008841,0.006797,0.009451,0.005853
21,100,1,0.501366,0.052663,0.009225,0.007508,0.010011,0.007303,0.008932,0.007089
21,100,1,0.197111,0.036274,0.008393,0.006505,0.009293,0.007087,0.009408,0.007713
21,100,1,0.053438,0.020649,0.020096,0.016076,0.019767,0.016743,0.019433,0.015665
21,100,1,0.249313,0.040191,0.00913,0.009129,0.009044,0.006357,0.009286,0.008171
21,100,1,0.170241,0.034284,0.012043,0.014418,0.013341,0.008711,0.013123,0.010497
21,100,1,0.023814,0.013353,0.014633,0.011783,0.0142,0.010432,0.013339,0.012356
21,100,1,0.007275,0.006511,0.008953,0.006062,0.007537,0.006037,0.006619,0.006211
21,100,1,0.135221,0.02856,0.008164,0.007096,0.008684,0.006411,0.013421,0.009242
21,100,1,0.688405,0.061735,0.009867,0.010616,0.007553,0.005862,0.00896,0.00772
21,100,1,0.006223,0.0081,0.007696,0.006127,0.008228,0.007922,0.007948,0.00635
21,100,1,0.024233,0.016137,0.012586,0.009513,0.015171,0.01518,0.010991,0.008929
21,100,1,0.101071,0.032689,0.008105,0.006414,0.009656,0.006213,0.012006,0.007429
