Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG
11,0,0.697847,0.023697,0.018887,0.001992,0.010489,0.00914,0.010618,0.004703,0.007619,0.001614,0.010571,0.010974
11,0,0.065199,0.008531,0.038108,0.001931,0.006107,0.006434,0.005685,0.002535,0.008699,0.002472,0.00528,0.00515
11,0,0.006989,0.002988,0.036918,0.002447,0.004684,0.007362,0.006205,0.001998,0.006151,0.002472,0.007466,0.004737
11,0,0.063206,0.00862,0.037597,0.00197,0.007122,0.008825,0.009039,0.003331,0.00957,0.003824,0.007543,0.006887
11,0,0.012627,0.005202,0.031175,0.001669,0.00457,0.003512,0.005418,0.001672,0.005112,0.002933,0.004128,0.004446
11,0,0.037235,0.004839,0.025989,0.001785,0.007347,0.007094,0.006854,0.003357,0.011008,0.00274,0.007779,0.006979
11,0,0.00544,0.003338,0.026575,0.00174,0.005636,0.004027,0.005674,0.001769,0.005312,0.001665,0.004098,0.005301
11,0,0.013497,0.003352,0.027668,0.001808,0.004146,0.003304,0.006859,0.002789,0.008825,0.004838,0.009517,0.006044
11,0,0.097084,0.01138,0.065716,0.005023,0.01465,0.018812,0.01287,0.005076,0.016298,0.006929,0.013407,0.013497
11,20,0.290538,0.02016,0.01115,0.001648,0.004528,0.004622,0.005042,0.001534,0.007082,0.002427,0.007238,0.009651
11,20,0.222776,0.014432,0.013081,0.002437,0.006757,0.006683,0.006928,0.002277,0.007253,0.002524,0.005491,0.006769
11,20,0.430928,0.019377,0.025678,0.005648,0.014045,0.009743,0.010416,0.002908,0.013531,0.007692,0.014457,0.007075
11,20,0.08266,0.024827,0.056884,0.003845,0.007997,0.007766,0.010696,0.003625,0.008944,0.003779,0.007529,0.007328
11,20,0.020302,0.006573,0.041654,0.003308,0.00946,0.007802,0.009391,0.004573,0.010806,0.004138,0.009533,0.007537
11,20,0.013023,0.004901,0.057245,0.003833,0.010768,0.00726,0.009417,0.003928,0.011035,0.003816,0.007471,0.007481
11,20,0.009891,0.003611,0.045251,0.003568,0.010288,0.007234,0.007617,0.003153,0.008874,0.00305,0.006871,0.006074
11,20,0.968713,0.0325,0.024981,0.003978,0.017996,0.016399,0.017003,0.005842,0.011186,0.003647,0.014659,0.015836
11,20,0.009795,0.004089,0.046017,0.003542,0.008009,0.00732,0.007938,0.003052,0.011154,0.003552,0.010302,0.008257
11,20,0.993249,0.032936,0.01073,0.002781,0.009501,0.012892,0.012685,0.005268,0.007785,0.003665,0.009269,0.010014
11,20,0.024077,0.004418,0.028902,0.002132,0.008703,0.007083,0.007359,0.003034,0.01033,0.00291,0.007567,0.005779
11,20,0.960891,0.027408,0.018918,0.001905,0.011609,0.011827,0.008471,0.003494,0.006034,0.002672,0.009868,0.008532
11,20,0.122483,0.015112,0.057797,0.005174,0.009424,0.007733,0.009774,0.004418,0.011656,0.004188,0.007888,0.00873
11,20,0.01138,0.005308,0.057366,0.004095,0.008359,0.009353,0.008393,0.003641,0.008243,0.002176,0.005992,0.005213
11,20,0.050405,0.007736,0.031109,0.002006,0.010007,0.010832,0.015715,0.008592,0.02906,0.007393,0.018906,0.017838
11,20,0.038888,0.011924,0.057019,0.003744,0.007798,0.007647,0.007179,0.003236,0.008877,0.004692,0.011016,0.006725
11,20,0.061639,0.010868,0.031102,0.001803,0.007309,0.006815,0.00841,0.003215,0.010392,0.003366,0.008255,0.005865
11,20,0.006189,0.002174,0.03055,0.001909,0.006164,0.004039,0.004367,0.001798,0.006657,0.002248,0.005269,0.00441
11,20,0.0139,0.00296,0.031297,0.001787,0.004622,0.005227,0.004533,0.001627,0.008585,0.002426,0.006627,0.005885
11,20,0.054506,0.00973,0.033233,0.001846,0.007331,0.006135,0.008195,0.003884,0.014532,0.006118,0.015865,0.01608
11,40,0.423926,0.025543,0.020212,0.004262,0.00974,0.009405,0.013107,0.003747,0.013178,0.004011,0.011221,0.008037
11,40,0.273911,0.023218,0.012258,0.002764,0.004534,0.004386,0.004913,0.001774,0.004784,0.001558,0.005194,0.005454
11,40,0.302756,0.013754,0.0125,0.00194,0.004811,0.004133,0.004788,0.001582,0.005113,0.001789,0.004941,0.004814
11,40,0.016648,0.003998,0.025433,0.0028,0.004245,0.003498,0.004387,0.002245,0.004645,0.001506,0.005259,0.004682
11,40,0.012269,0.003953,0.031697,0.001975,0.004565,0.003935,0.004252,0.001766,0.006024,0.001978,0.004026,0.004606
11,40,0.005479,0.001859,0.037799,0.002671,0.003816,0.003124,0.00653,0.001819,0.005114,0.002176,0.007954,0.005895
11,40,0.008956,0.003516,0.025587,0.001932,0.004171,0.004197,0.004005,0.001948,0.005414,0.001622,0.007064,0.006748
11,40,0.608778,0.022937,0.014929,0.001625,0.007814,0.007651,0.007935,0.002709,0.005211,0.001932,0.00795,0.007563
11,40,0.005399,0.001785,0.021775,0.001964,0.003816,0.00307,0.003904,0.00158,0.004766,0.001506,0.003927,0.003234
11,40,0.643551,0.017295,0.010655,0.001677,0.007604,0.008074,0.00758,0.002389,0.005603,0.001874,0.010702,0.013222
11,40,0.022577,0.004548,0.033096,0.002966,0.007199,0.005977,0.007293,0.004016,0.007848,0.002832,0.006422,0.004443
11,40,0.611623,0.017196,0.016828,0.00163,0.00848,0.010481,0.009014,0.003896,0.005508,0.001896,0.007903,0.008343
11,40,0.055166,0.005549,0.028124,0.001621,0.003985,0.003329,0.003866,0.001499,0.006048,0.002348,0.005355,0.005454
11,40,0.00846,0.003754,0.045661,0.003951,0.006093,0.005445,0.009351,0.00436,0.01177,0.003965,0.008795,0.009492
11,40,0.075218,0.011844,0.066196,0.003566,0.014481,0.013409,0.013264,0.006005,0.013712,0.010819,0.010931,0.017456
11,40,0.012494,0.003556,0.030649,0.00181,0.003618,0.002965,0.004239,0.002299,0.004536,0.001498,0.004568,0.004135
11,40,0.036607,0.00804,0.039064,0.003546,0.013792,0.011804,0.016074,0.005012,0.022947,0.006005,0.009113,0.006669
11,40,0.006405,0.0019,0.021336,0.001706,0.004092,0.003039,0.003937,0.001555,0.004979,0.001509,0.004713,0.003149
11,40,0.011486,0.002761,0.020784,0.001572,0.003829,0.003141,0.003862,0.001561,0.005376,0.001796,0.003761,0.002872
11,40,0.031919,0.005762,0.03206,0.003276,0.005629,0.005011,0.006345,0.002311,0.008619,0.002398,0.007142,0.005341
11,60,0.2456,0.013021,0.011718,0.001602,0.004631,0.0037,0.004927,0.001536,0.005861,0.001517,0.004724,0.003718
11,60,0.195484,0.011172,0.011257,0.00174,0.004262,0.004365,0.004105,0.00156,0.004979,0.001513,0.004089,0.004355
11,60,0.2983,0.016003,0.01216,0.001747,0.004506,0.003781,0.004259,0.001573,0.004492,0.001992,0.007584,0.006391
11,60,0.018555,0.005741,0.040483,0.003536,0.006242,0.003756,0.004956,0.002012,0.004662,0.001563,0.003984,0.003959
11,60,0.013319,0.002846,0.025641,0.002314,0.003626,0.00292,0.004734,0.001523,0.00422,0.001484,0.004324,0.002915
11,60,0.005104,0.001777,0.036701,0.002238,0.003657,0.003002,0.004144,0.002474,0.004961,0.00291,0.005083,0.003416
11,60,0.007564,0.001855,0.02494,0.003047,0.004343,0.003147,0.005217,0.001542,0.00477,0.001525,0.003967,0.003771
11,60,0.67442,0.020527,0.015446,0.001692,0.007748,0.008366,0.008036,0.002534,0.005127,0.001539,0.008086,0.007964
11,60,0.005711,0.001824,0.02464,0.001666,0.005406,0.004242,0.005518,0.001659,0.005347,0.002586,0.004141,0.003574
11,60,0.943139,0.022577,0.024954,0.004731,0.01345,0.015612,0.014881,0.005084,0.009286,0.002826,0.011181,0.010851
11,60,0.029882,0.008281,0.036672,0.003963,0.015107,0.012446,0.01501,0.005932,0.014565,0.004918,0.010993,0.008621
11,60,1.08335,0.045071,0.027002,0.003609,0.017561,0.013146,0.011015,0.00285,0.007699,0.001789,0.013262,0.010282
11,60,0.058936,0.008415,0.036331,0.002494,0.007641,0.005953,0.006963,0.003392,0.013072,0.003323,0.00976,0.008958
11,60,0.015276,0.008097,0.085718,0.003895,0.01121,0.007443,0.011573,0.003353,0.02099,0.004073,0.012622,0.012
11,60,0.115947,0.025021,0.036533,0.002613,0.006992,0.00727,0.007644,0.003624,0.011423,0.005262,0.010522,0.0121
11,60,0.019473,0.005939,0.045087,0.00358,0.004395,0.004248,0.006599,0.002745,0.007951,0.002859,0.006833,0.006171
11,60,0.057941,0.008472,0.028962,0.001851,0.008361,0.007197,0.008525,0.003857,0.011975,0.003362,0.007145,0.005044
11,60,0.006965,0.00319,0.027518,0.003334,0.004955,0.003785,0.006071,0.002156,0.007924,0.002805,0.007308,0.006331
11,60,0.019433,0.005875,0.029017,0.002694,0.006476,0.005592,0.007501,0.003299,0.008874,0.003253,0.006592,0.006138
11,60,0.050695,0.009081,0.05378,0.003794,0.010759,0.008871,0.011933,0.006536,0.017677,0.007705,0.011669,0.010477
11,80,0.656151,0.037962,0.017015,0.003834,0.004711,0.003665,0.006434,0.002048,0.005629,0.001761,0.004433,0.00342
11,80,0.210271,0.0137,0.014048,0.001753,0.004443,0.004782,0.005473,0.001529,0.007139,0.002981,0.004983,0.005217
11,80,0.357475,0.018711,0.017161,0.003335,0.006887,0.005087,0.007477,0.003059,0.008058,0.002832,0.006213,0.005491
11,80,0.017624,0.004679,0.029207,0.002875,0.00515,0.004756,0.007716,0.003692,0.006348,0.002672,0.007213,0.00682
11,80,0.018409,0.005014,0.02867,0.002383,0.006368,0.004434,0.005237,0.002151,0.005507,0.00176,0.003949,0.002936
11,80,0.005173,0.002803,0.03925,0.001662,0.004196,0.003862,0.003828,0.00159,0.004686,0.002165,0.003643,0.003004
11,80,0.008086,0.002824,0.025002,0.002759,0.005344,0.003843,0.005417,0.00245,0.004959,0.002324,0.004431,0.002966
11,80,0.719797,0.023069,0.016636,0.001757,0.009869,0.008574,0.008846,0.002503,0.00634,0.001669,0.008391,0.009916
11,80,0.006323,0.002318,0.028685,0.002927,0.003971,0.003186,0.004594,0.002335,0.005155,0.001746,0.005617,0.003357
11,80,0.791596,0.025024,0.010569,0.001915,0.008581,0.009715,0.008908,0.002832,0.006996,0.002677,0.012241,0.013813
11,80,0.028525,0.008094,0.02466,0.001689,0.007364,0.005765,0.006494,0.003089,0.007881,0.00252,0.006353,0.005334
11,80,0.765396,0.023661,0.019089,0.003114,0.00876,0.010908,0.010227,0.003396,0.006601,0.002343,0.008851,0.007934
