Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,0.004464,0.000195
21,100,0.027387,0.006087
41,100,0.100346,0.029792
61,100,0.167368,0.053019
81,100,0.215987,0.084637
101,100,0.290293,0.123704
1,100,0.004992,0.000149
21,100,0.070188,0.007173
41,100,0.146902,0.028932
61,100,0.204369,0.050118
81,100,0.334059,0.08358
101,100,0.497,0.134536
1,100,0.00375,0.000224
21,100,0.01929,0.008845
41,100,0.065406,0.028917
61,100,0.127026,0.054289
81,100,0.199995,0.091783
101,100,0.298013,0.147887
1,100,0.003221,0.000246
21,100,0.086008,0.014969
41,100,0.142466,0.028812
61,100,0.239757,0.051739
81,100,0.354714,0.084348
101,100,0.513703,0.124472
1,100,0.005016,0.000292
21,100,0.053734,0.008939
41,100,0.154792,0.026769
61,100,0.204726,0.051961
81,100,0.295594,0.08048
101,100,0.441739,0.124113
1,100,0.005436,0.000374
21,100,0.04936,0.010002
41,100,0.162864,0.026899
61,100,0.221911,0.051964
81,100,0.315377,0.084692
101,100,0.504269,0.124137
1,100,0.004606,0.000272
21,100,0.045518,0.010296
41,100,0.147798,0.030535
61,100,0.239645,0.048866
81,100,0.30887,0.084366
101,100,0.478276,0.12375
1,100,0.004747,0.000243
21,100,0.050317,0.007387
41,100,0.159371,0.027353
61,100,0.221214,0.049474
81,100,0.324895,0.079032
101,100,0.476679,0.120698
1,100,0.002667,0.000259
21,100,0.071864,0.007085
41,100,0.145448,0.028805
61,100,0.238593,0.055464
81,100,0.34775,0.085009
101,100,0.437401,0.126288
1,100,0.004399,0.000332
21,100,0.074486,0.007336
41,100,0.145547,0.02738
61,100,0.217099,0.049713
81,100,0.317844,0.082412
101,100,0.474404,0.126888
1,100,0.003438,0.000195
21,100,0.049076,0.005624
41,100,0.139078,0.029642
61,100,0.226,0.050957
81,100,0.327894,0.080946
101,100,0.432573,0.124593
1,100,0.004037,0.000338
21,100,0.053091,0.006523
41,100,0.132972,0.02823
61,100,0.208313,0.047642
81,100,0.277929,0.082813
101,100,0.480983,0.126386
1,100,0.00404,0.000226
21,100,0.061727,0.008035
41,100,0.158479,0.028101
61,100,0.243615,0.054096
81,100,0.347747,0.08118
101,100,0.570845,0.12817
1,100,0.006278,0.000453
21,100,0.031387,0.006919
41,100,0.133759,0.025471
61,100,0.166122,0.050664
81,100,0.235412,0.083286
101,100,0.32876,0.12846
