Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
11,80,0.002176,0.001709,0.006933,0.003262,0.003404,0.003546,0.003479,0.003074,0.002243,0.017238
11,100,0.003368,0.002013,0.007533,0.00325,0.002374,0.001418,0.004266,0.004697,0.003517,0.015366
11,100,0.001856,0.001595,0.007532,0.003728,0.004189,0.00295,0.002484,0.002974,0.002379,0.017853
11,100,0.002783,0.00189,0.008148,0.001955,0.002681,0.001724,0.003885,0.003502,0.003249,0.014045
11,100,0.005451,0.00285,0.009783,0.001651,0.002471,0.001361,0.002563,0.003561,0.004741,0.015931
11,100,0.002022,0.00174,0.005881,0.002319,0.004799,0.00198,0.004603,0.003042,0.002293,0.016748
11,100,0.003919,0.002715,0.008077,0.003502,0.00209,0.001891,0.002368,0.005744,0.002638,0.013453
11,100,0.005686,0.002951,0.009807,0.001667,0.002185,0.001561,0.00234,0.002975,0.004638,0.017389
11,100,0.002041,0.001419,0.005408,0.00152,0.005272,0.002993,0.005996,0.004089,0.002101,0.016435
11,100,0.004236,0.003412,0.007696,0.002636,0.002329,0.001485,0.006354,0.003792,0.004295,0.012713
11,100,0.002184,0.003028,0.010231,0.001742,0.003933,0.001715,0.002525,0.002826,0.003389,0.019592
21,0,0.002631,0.004908,0.021212,0.005513,0.0104,0.006868,0.010258,0.007472,0.010111,0.021471
21,0,0.002499,0.00616,0.020086,0.006723,0.009684,0.010599,0.010365,0.008258,0.00945,0.021217
21,0,0.003718,0.006943,0.020513,0.005948,0.007966,0.012048,0.009879,0.0117,0.007552,0.022296
21,0,0.002912,0.009965,0.021192,0.006307,0.005263,0.012768,0.005315,0.017442,0.005658,0.024477
21,0,0.003232,0.010334,0.024023,0.007387,0.005472,0.007351,0.005418,0.015314,0.010255,0.022672
21,0,0.003668,0.012166,0.023592,0.008685,0.009753,0.005295,0.005515,0.013878,0.005704,0.023799
21,0,0.003375,0.010206,0.02085,0.00633,0.005212,0.010445,0.005234,0.014181,0.005539,0.025442
21,0,0.003335,0.010218,0.020815,0.00617,0.005322,0.014179,0.014788,0.008425,0.010518,0.020933
21,0,0.001862,0.006692,0.019797,0.010387,0.011332,0.006193,0.011498,0.007551,0.008439,0.019163
21,0,0.002489,0.00891,0.022689,0.010039,0.008271,0.004657,0.006857,0.007069,0.010163,0.020136
21,20,0.002491,0.007978,0.020308,0.008751,0.010984,0.006161,0.006745,0.006897,0.007401,0.021096
21,20,0.004423,0.008878,0.022852,0.011208,0.005579,0.00584,0.0062,0.01362,0.005311,0.024591
21,20,0.006025,0.00729,0.025232,0.006655,0.006084,0.005815,0.011826,0.012175,0.010241,0.024847
21,20,0.002223,0.00706,0.022655,0.01127,0.0112,0.005327,0.00666,0.007958,0.00683,0.022521
21,20,0.004388,0.008347,0.023095,0.011512,0.005913,0.005455,0.006185,0.007673,0.008282,0.024559
21,20,0.002707,0.012577,0.019603,0.008875,0.008966,0.01071,0.012255,0.007877,0.00927,0.021453
21,20,0.001959,0.008952,0.023041,0.01172,0.009732,0.006363,0.007022,0.007292,0.005765,0.02372
21,20,0.004911,0.008373,0.023363,0.009105,0.005705,0.005625,0.005357,0.014349,0.008674,0.021283
21,20,0.003982,0.009544,0.021706,0.006686,0.00616,0.011659,0.011628,0.012258,0.010206,0.027006
