Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,600,0.014254,0.000359,0.002844,0.000177,0.002782,0.000173,0.002785,0.000887,0.004038,0.00071,0.002849,0.00016,0.002733,0.000158,0.002743,0.000937,0.003922,0.000843
21,100,2,600,0.013608,0.014841,0.060197,0.00845,0.057904,0.008327,0.00887,0.008582,0.008627,0.009003,0.008142,0.007591,0.009867,0.007823,0.008131,0.009056,0.008374,0.008264
41,100,2,600,0.01447,0.053064,0.188304,0.029997,0.186738,0.030193,0.020156,0.030414,0.021057,0.03125,0.02134,0.028689,0.02879,0.038646,0.03173,0.045983,0.032015,0.05274
61,100,2,600,0.019072,0.138902,0.263554,0.063025,0.287655,0.063643,0.038555,0.065071,0.038426,0.064445,0.038557,0.061642,0.039256,0.061592,0.038439,0.064558,0.038474,0.064191
81,100,2,600,0.043822,0.31214,0.459644,0.109928,0.452241,0.109386,0.12799,0.244582,0.129755,0.236175,0.126204,0.226875,0.096958,0.166314,0.126926,0.23739,0.126522,0.236549
101,100,2,600,0.041725,0.462203,0.719735,0.166555,0.708911,0.165361,0.185301,0.358953,0.185362,0.358023,0.184897,0.344638,0.142053,0.25249,0.185215,0.35854,0.185458,0.359144
1,100,2,600,0.013888,0.000392,0.003154,0.000183,0.003047,0.000177,0.003554,0.001045,0.00343,0.000592,0.002961,0.000143,0.00295,0.000142,0.003004,0.001775,0.003763,0.000728
21,100,2,600,0.041756,0.024438,0.050508,0.00868,0.049945,0.008198,0.013539,0.014777,0.013695,0.014005,0.01425,0.011979,0.020307,0.01264,0.013548,0.016607,0.013414,0.013796
41,100,2,600,0.041279,0.084255,0.182179,0.029605,0.187499,0.029282,0.03202,0.04858,0.031421,0.047778,0.03146,0.045079,0.035788,0.045275,0.031666,0.049945,0.031184,0.048948
61,100,2,600,0.041285,0.178408,0.314323,0.063279,0.286335,0.063772,0.058383,0.100696,0.05871,0.100501,0.058552,0.095857,0.062078,0.095906,0.058398,0.10109,0.058407,0.101474
81,100,2,600,0.041628,0.29924,0.460381,0.10936,0.455688,0.109877,0.096756,0.173742,0.095039,0.173996,0.095082,0.167672,0.099798,0.167105,0.095408,0.174249,0.09707,0.176869
101,100,2,600,0.041583,0.460169,0.703788,0.166761,0.719461,0.168332,0.141095,0.26552,0.141626,0.267621,0.141037,0.250897,0.144958,0.257982,0.140952,0.26828,0.140747,0.266856
1,100,2,600,0.007299,0.000228,0.004633,0.0002,0.00432,0.000207,0.003087,0.000859,0.003873,0.000676,0.003437,0.000182,0.004119,0.000151,0.003005,0.000937,0.00366,0.000705
21,100,2,600,0.01354,0.013629,0.064107,0.010573,0.108806,0.011754,0.020577,0.020984,0.014423,0.014231,0.012955,0.013526,0.015929,0.012102,0.015322,0.013651,0.013416,0.015246
41,100,2,600,0.013715,0.050542,0.18425,0.029654,0.188551,0.029867,0.032342,0.049962,0.031914,0.048297,0.031298,0.046545,0.034348,0.044879,0.031903,0.048267,0.031447,0.047604
61,100,2,600,0.016187,0.104094,0.30058,0.06386,0.287897,0.06337,0.058567,0.101027,0.058929,0.100051,0.058361,0.096241,0.061277,0.09646,0.058508,0.10104,0.058531,0.100827
81,100,2,600,0.014462,0.180791,0.475021,0.110382,0.474329,0.110778,0.095582,0.175665,0.095274,0.173314,0.095074,0.16554,0.097334,0.165307,0.095348,0.175749,0.098557,0.177175
